RDeltoid,0
RMidArm,1
RElbRadial,2
RElbUlnar,3
RMidForeArm,4
RWrist1,5
RWrist2,6
RFingerJoint,7
LDeltoid,8
LMidArm,9
LElbRadial,10
LElbUlnar,11
LMidForeArm,12
LWrist1,13
LWrist2,14
LFingerJoint,15
C7,16
Neck,17
MidSternum,18
