Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,:Rdeltoid,,,:RMidArm,,,:RElbRadial,,,:RElbUlna,,,:RMidForeArm,,,:RWrist1,,,:RWrist2,,,:RFingerJoint,,,:LDeltoid,,,:LMidArm,,,:LElbRadial,,,:LElbUlna,,,:LMidForearm,,,:Lwrist1,,,:LWrist2,,,:LFingerJoint,,,:C7,,,:Neck,,,:MidSternum,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,446.091156,51.859581,897.555054,437.894653,99.999016,778.009094,423.7034,105.567513,627.606995,454.29715,68.648102,619.309509,314.292755,35.211899,588.04541,289.337738,18.822306,526.48999,283.711395,-16.091206,568.102966,264.199738,-70.068069,511.548889,392.705444,-135.997635,960.884277,397.688416,-298.300354,927.917236,420.36261,-392.460541,901.49469,467.478363,-376.422852,892.063599,375.75882,-372.177368,827.152039,363.804291,-365.725372,700.915222,368.492981,-314.149567,709.046997,369.12088,-307.881561,634.852295,,,,358.152496,-47.721989,857.298523,341.614105,-65.365906,773.937683
2,0,446.21637,51.770233,897.499268,437.983643,99.913269,777.958313,425.36087,100.115715,626.463989,454.354584,68.630066,619.254761,314.367279,35.23661,588.014648,289.389069,18.788391,526.445923,283.801605,-16.113363,568.040222,264.261719,-70.083649,511.523315,392.72998,-136.024963,960.871704,397.662445,-298.306519,928.045776,420.297363,-392.549683,901.735657,467.353119,-376.49939,892.242798,375.689392,-372.351013,827.333252,363.545868,-366.118744,701.136719,368.418243,-314.368317,708.950134,368.958252,-308.412384,634.937622,,,,358.204742,-47.709045,857.249695,341.694794,-65.47821,773.898315
3,0,446.281921,51.721954,897.420715,438.067871,99.858307,777.886414,425.502899,100.134247,626.406799,454.451874,68.596794,619.203064,314.478363,35.268715,587.955933,289.534912,18.822308,526.361145,283.910034,-16.080585,567.985107,264.919037,-71.366684,510.749512,392.706512,-136.55722,961.49939,397.641571,-298.32312,928.187622,420.106598,-392.504395,901.742249,466.934906,-376.359497,892.196228,375.576782,-372.510773,827.561401,363.317719,-366.574982,701.327271,368.108582,-314.966431,709.261841,368.838531,-308.985809,634.996399,,,,358.23407,-47.788624,857.185791,341.736969,-65.489304,773.848877
4,0,446.326569,51.656406,897.334839,438.17215,99.781578,777.849792,425.648346,100.134796,626.334717,454.584351,68.569954,619.151672,314.643768,35.278236,587.878418,289.572205,18.768867,526.381409,284.057892,-16.113316,567.941162,264.976196,-71.385834,510.754639,392.672638,-136.584045,961.468018,397.61438,-298.340881,928.279663,420.122986,-392.587677,902.097351,467.053192,-376.528442,892.476013,375.434082,-372.663086,827.795654,363.075745,-367.003448,701.499634,368.062164,-315.162689,709.132141,368.787567,-309.576477,635.001282,,,,358.21814,-47.867638,857.092529,341.824005,-65.607079,773.774597
5,0,446.353638,51.482567,897.094727,438.278809,99.752541,777.769043,424.21283,105.61425,627.385437,454.732391,68.555389,619.068726,314.855164,35.323761,587.808899,289.668304,18.769419,526.362,284.197754,-15.981097,567.88739,265.105103,-71.277756,510.849548,392.641022,-136.570923,961.37207,397.550354,-298.325104,928.342651,420.0159,-392.602539,902.25885,467.89856,-377.316467,892.3974,375.279053,-372.831421,827.983154,362.882446,-367.400696,701.641663,367.911743,-315.587006,709.136902,368.769806,-310.185303,634.95929,,,,358.209137,-47.790401,856.97998,341.825897,-65.585968,773.688232
6,0,446.359406,51.595055,897.162476,438.396454,99.701584,777.664612,426.064331,100.224205,626.127136,454.398621,77.327385,621.953491,315.062378,35.367374,587.736816,289.780945,18.808809,526.343506,284.359619,-15.875757,567.849182,265.178925,-71.136421,510.847748,392.578705,-136.537613,961.247925,397.489349,-298.320648,928.365051,419.926117,-392.601044,902.430481,466.655151,-376.541077,892.637268,375.092834,-372.940979,828.181274,362.701782,-367.80188,701.719849,367.812866,-315.994415,709.079163,368.797577,-310.771179,634.877502,,,,358.141266,-47.900574,856.839478,341.864868,-65.630493,773.574768
7,0,446.312469,51.568001,897.046692,438.542358,99.633377,777.54071,424.677948,105.497444,627.186035,455.118652,68.491982,618.901245,315.281403,35.471764,587.659973,289.933075,18.83477,526.304443,284.55246,-15.744368,567.803162,265.280945,-71.155212,510.91272,392.512817,-136.528885,961.132874,397.418762,-298.301605,928.371277,419.821136,-392.673737,902.479736,466.193634,-376.373688,892.475159,375.023315,-373.094696,828.181213,362.526215,-368.213043,701.748901,367.712433,-316.351349,709.007385,368.840576,-311.355499,634.754639,,,,358.065399,-47.933388,856.692505,341.875366,-65.633797,773.461975
8,0,446.252563,51.571426,896.952637,438.651703,99.624123,777.431824,424.945984,105.403931,627.038269,455.298065,68.475243,618.814941,315.534332,35.534676,587.565125,290.018188,18.869972,526.304016,284.787018,-15.677003,567.786743,265.354462,-71.087624,511.004913,392.416046,-136.534714,961.033997,397.31311,-298.268097,928.335815,419.711578,-392.702393,902.530212,466.119873,-376.431244,892.598328,374.833527,-373.194427,828.234192,362.33252,-368.573914,701.750183,367.495972,-316.960236,709.112549,368.900757,-311.898285,634.591125,,,,358.032959,-47.961681,856.566711,341.898346,-65.714935,773.300781
