Trajectories
100
,,ValidationHealth004:Rdeltoid,,,ValidationHealth004:RMidArm,,,ValidationHealth004:RElbRadial,,,ValidationHealth004:RElbUlna,,,ValidationHealth004:RMidForeArm,,,ValidationHealth004:RWrist1,,,ValidationHealth004:RWrist2,,,ValidationHealth004:RFingerJoint,,,ValidationHealth004:LDeltoid,,,ValidationHealth004:LMidArm,,,ValidationHealth004:LElbRadial,,,ValidationHealth004:LElbUlna,,,ValidationHealth004:LMidForearm,,,ValidationHealth004:Lwrist1,,,ValidationHealth004:LWrist2,,,ValidationHealth004:LFingerJoint,,,ValidationHealth004:C7,,,ValidationHealth004:Neck,,,ValidationHealth004:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,413.802124,133.346481,1179.344238,411.662201,307.811615,1148.028687,443.408966,439.931885,1148.203491,515.433044,411.998505,1083.598633,368.255981,427.391571,1030.210327,339.133118,459.297058,896.272644,355.653412,377.672943,887.961914,297.861908,382.359558,813.631592,383.062439,-195.080460,1167.146362,370.443298,-367.880676,1151.415527,366.968384,-479.352814,1154.620850,443.173767,-510.428772,1101.777466,321.529663,-444.257751,1020.930176,253.900970,-516.778809,919.939819,274.204834,-440.430237,908.079773,208.341141,-444.253479,846.600403,,,,339.021820,-28.281353,1121.094971,333.920410,-16.472406,1025.187988
11,0,413.777618,133.310577,1179.350830,411.634552,307.788300,1148.053467,443.371826,439.913727,1148.240356,515.400696,411.990295,1083.606201,368.233948,427.374390,1030.212036,339.124329,459.316589,896.303345,355.634521,377.687897,887.988159,297.840210,382.404053,813.638489,383.089417,-195.113159,1167.147461,370.515045,-367.905182,1151.436401,367.070953,-479.369568,1154.665894,443.266052,-510.450317,1101.821533,321.617065,-444.282715,1020.941833,253.995544,-516.859680,919.999023,274.305145,-440.511047,908.120850,208.408356,-444.342743,846.675232,,,,339.016144,-28.314253,1121.087769,333.892090,-16.484095,1025.208862
12,0,413.775574,133.253937,1179.327759,411.634583,307.741486,1148.050049,443.345276,439.863525,1148.256958,515.349304,411.947968,1083.638794,368.218048,427.366364,1030.221313,339.131897,459.325897,896.318604,355.611359,377.681702,887.976013,297.797516,382.427521,813.643066,383.115570,-195.169922,1167.169067,370.571350,-367.914948,1151.452515,367.170258,-479.384460,1154.697754,443.365631,-510.457153,1101.864624,321.719116,-444.301514,1020.950073,254.063370,-516.901855,920.080200,274.379120,-440.561981,908.158142,208.446899,-444.388214,846.761230,,,,339.034088,-28.368830,1121.071899,333.920563,-16.533800,1025.189331
13,0,413.806824,133.087280,1179.286011,411.582916,307.703369,1148.057495,443.307434,439.849152,1148.275513,515.305847,411.915680,1083.652344,368.163025,427.335938,1030.255005,339.086823,459.323669,896.335876,355.566345,377.701324,887.989197,297.735626,382.435303,813.651367,383.139862,-195.204300,1167.186035,370.642426,-367.947510,1151.477905,367.264160,-479.411774,1154.743530,443.463348,-510.473267,1101.899414,321.826691,-444.294189,1020.998962,254.113113,-516.923035,920.165833,274.434662,-440.580688,908.228882,208.473663,-444.405243,846.851440,,,,339.037964,-28.411694,1121.045898,333.909821,-16.599092,1025.178101
14,0,413.783356,133.100830,1179.292480,411.600098,307.588013,1148.037720,443.267639,439.809113,1148.297363,515.270996,411.870819,1083.679199,368.112915,427.314453,1030.275757,339.041229,459.329498,896.378845,355.514404,377.732971,887.991028,297.672363,382.446869,813.679871,383.163300,-195.223618,1167.213745,370.718628,-367.984192,1151.502808,367.378510,-479.454010,1154.789917,443.546967,-510.509491,1101.937378,321.907715,-444.313904,1021.047607,254.142944,-516.934937,920.259155,274.541718,-440.626617,908.290955,208.499832,-444.366821,846.960144,,,,339.042206,-28.419100,1121.029785,333.940826,-16.640524,1025.165161
15,0,413.797699,133.038315,1179.286621,411.530975,307.563782,1148.042114,443.209137,439.772186,1148.325317,515.214233,411.870667,1083.702881,368.056610,427.284363,1030.299316,338.973022,459.299805,896.398193,355.473297,377.699554,888.000305,297.601807,382.418030,813.709900,383.210968,-195.251251,1167.246826,370.808105,-368.029816,1151.553711,367.450165,-479.477570,1154.870728,443.642334,-510.530762,1101.982056,321.971588,-444.357697,1021.176575,254.191010,-516.944885,920.363098,274.680084,-440.732300,908.386292,208.520370,-444.415588,847.108032,,,,339.075226,-28.470648,1121.014282,333.959381,-16.685862,1025.201660
16,0,413.819427,133.037643,1179.295532,411.522888,307.496033,1148.047119,443.135956,439.719360,1148.326782,515.148987,411.873413,1083.700928,367.984558,427.226074,1030.324951,338.871857,459.265686,896.441589,355.403870,377.632843,888.041626,297.533203,382.403656,813.744568,383.248199,-195.289169,1167.276489,370.894562,-368.084961,1151.623047,367.552094,-479.539856,1154.960205,443.681702,-510.561584,1102.046875,322.038879,-444.410522,1021.317810,254.237885,-516.957703,920.463501,274.734802,-440.732269,908.485840,208.533325,-444.391876,847.223877,,,,339.104767,-28.473997,1121.022095,333.989349,-16.727438,1025.219360
17,0,413.872559,132.989670,1179.297119,411.442322,307.449951,1148.089355,443.081848,439.699707,1148.345093,515.094360,411.847443,1083.722656,367.894989,427.178772,1030.352295,338.790222,459.261230,896.477844,355.314331,377.615692,888.069275,297.445953,382.398132,813.767456,383.294037,-195.352142,1167.328857,370.947815,-368.125519,1151.683716,367.623077,-479.591309,1155.042725,443.750092,-510.588287,1102.096191,322.115997,-444.396362,1021.407715,254.295761,-516.968811,920.546204,274.790070,-440.729431,908.576233,208.552628,-444.395996,847.325806,,,,339.127747,-28.511778,1121.017456,333.994049,-16.754976,1025.235718
18,0,413.882813,132.907028,1179.312988,411.438873,307.408264,1148.058105,443.010193,439.641144,1148.339478,515.025269,411.827179,1083.699341,367.820190,427.122833,1030.370117,338.688538,459.243439,896.524231,355.223389,377.534058,888.077209,297.356018,382.335602,813.775574,383.345398,-195.359787,1167.342773,370.992554,-368.136810,1151.716431,367.683929,-479.619629,1155.098999,443.816437,-510.614288,1102.146484,322.158600,-444.414703,1021.469482,254.295349,-516.961609,920.618530,274.740570,-440.664337,908.645813,208.571243,-444.414001,847.419983,,,,339.146362,-28.565559,1121.014038,333.982239,-16.801497,1025.268311
19,0,413.886719,132.974136,1179.320190,411.421906,307.371277,1148.042847,442.956177,439.593536,1148.325073,514.979614,411.810913,1083.645508,367.727905,427.080322,1030.360107,338.538635,459.190033,896.535706,355.141479,377.549988,888.057251,297.255005,382.265533,813.778137,383.373871,-195.365524,1167.350220,371.030396,-368.139221,1151.724365,367.734833,-479.638672,1155.140381,443.854797,-510.633636,1102.169067,322.184113,-444.410309,1021.524902,254.291260,-516.940918,920.689026,274.745239,-440.650543,908.716736,208.581665,-444.368958,847.483459,,,,339.175842,-28.584352,1121.015991,333.976624,-16.868065,1025.287476
20,0,413.881165,132.941467,1179.325928,411.444427,307.335968,1148.036255,442.887421,439.545746,1148.312866,514.902283,411.797943,1083.598389,367.640900,427.053314,1030.361084,338.441925,459.188538,896.544312,355.068420,377.573212,888.029663,297.144867,382.206635,813.782837,383.425507,-195.403702,1167.386230,371.055328,-368.157196,1151.745361,367.785706,-479.664948,1155.173340,443.905548,-510.668091,1102.206665,322.177704,-444.424164,1021.556274,254.262146,-516.927917,920.750305,274.703369,-440.600769,908.746643,208.608643,-444.319275,847.549072,,,,339.202545,-28.584671,1121.009766,333.988708,-16.919634,1025.285278
21,0,414.898346,130.051392,1178.633789,411.385071,307.296387,1148.028320,442.843109,439.537292,1148.291748,514.833801,411.778870,1083.540161,367.543640,426.998383,1030.340210,338.550934,459.481598,896.916992,354.934784,377.492676,888.040100,296.998352,382.147705,813.786560,383.480438,-195.413376,1167.423828,371.086121,-368.171234,1151.783936,367.819580,-479.662659,1155.179077,443.935394,-510.693359,1102.232544,322.181274,-444.445496,1021.595703,254.244949,-516.900330,920.807922,274.837524,-440.659790,908.793579,208.628387,-444.248596,847.626526,,,,339.239624,-28.634438,1121.009155,333.970306,-16.968735,1025.290771
