Trajectories
100
,,ValidationHealthy015:Rdeltoid,,,ValidationHealthy015:RMidArm,,,ValidationHealthy015:RElbRadial,,,ValidationHealthy015:RElbUlna,,,ValidationHealthy015:RMidForeArm,,,ValidationHealthy015:RWrist1,,,ValidationHealthy015:RWrist2,,,ValidationHealthy015:RFingerJoint,,,ValidationHealthy015:LDeltoid,,,ValidationHealthy015:LMidArm,,,ValidationHealthy015:LElbRadial,,,ValidationHealthy015:LElbUlna,,,ValidationHealthy015:LMidForearm,,,ValidationHealthy015:Lwrist1,,,ValidationHealthy015:LWrist2,,,ValidationHealthy015:LFingerJoint,,,ValidationHealthy015:C7,,,ValidationHealthy015:Neck,,,ValidationHealthy015:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,426.9,34.7769,1159.54,464.952,192.348,1142.47,488.737,341.829,1113.19,546.081,317.221,1067.14,429.647,328.904,995.154,394.041,384.978,864.244,402.077,323.967,851.987,355.337,319.794,780.073,443.917,-222.083,1154.13,466.129,-391.966,1123.93,506.61,-519.41,1095.43,575.737,-496.996,1059.66,448.596,-532.869,977.285,416.181,-577.363,851.339,427.53,-507.827,851.253,369.308,-498.182,781.713,498.769,-94.0821,1138.3,373.786,-102.699,1106.96,348.019,-96.3659,1002.17
2,0,426.903,34.8418,1159.51,465.045,192.409,1142.36,488.883,341.872,1113,546.242,317.19,1066.96,429.779,328.866,994.989,394.189,384.852,864.038,402.19,323.818,851.834,355.429,319.598,779.931,443.886,-222.034,1154.14,466.065,-391.944,1123.96,506.528,-519.393,1095.45,575.667,-496.975,1059.7,448.54,-532.798,977.282,416.15,-577.264,851.342,427.556,-507.739,851.255,369.396,-498.044,781.64,498.79,-94.0782,1138.29,373.768,-102.634,1106.95,347.993,-96.3211,1002.16
3,0,426.941,34.8731,1159.52,465.109,192.454,1142.29,489.048,341.904,1112.85,546.395,317.161,1066.82,429.925,328.793,994.841,394.363,384.72,863.845,402.306,323.677,851.727,355.558,319.459,779.79,443.858,-221.988,1154.14,465.996,-391.92,1123.98,506.451,-519.369,1095.48,575.606,-496.97,1059.77,448.534,-532.747,977.302,416.152,-577.198,851.33,427.596,-507.685,851.253,369.553,-497.982,781.575,498.786,-94.0439,1138.3,373.766,-102.592,1106.96,347.97,-96.2585,1002.16
4,0,426.975,34.923,1159.5,465.188,192.493,1142.22,489.166,341.943,1112.71,546.531,317.126,1066.69,430.095,328.729,994.704,394.543,384.629,863.647,402.443,323.574,851.587,355.697,319.319,779.652,443.812,-221.945,1154.15,465.941,-391.886,1124.01,506.451,-519.464,1095.64,575.548,-496.972,1059.83,448.517,-532.681,977.302,416.246,-577.395,851.622,427.694,-507.672,851.239,369.697,-497.912,781.502,498.777,-94.0246,1138.3,373.76,-102.558,1106.98,347.953,-96.2076,1002.2
5,0,427.001,34.9769,1159.5,465.274,192.512,1142.14,489.289,341.984,1112.6,546.664,317.113,1066.57,430.246,328.699,994.575,394.712,384.543,863.478,402.565,323.477,851.441,355.839,319.211,779.524,443.769,-221.928,1154.18,465.893,-391.851,1124.02,506.325,-519.362,1095.54,575.483,-496.966,1059.89,448.489,-532.656,977.283,416.272,-577.389,851.596,427.759,-507.665,851.217,369.839,-497.845,781.444,498.754,-93.9719,1138.3,373.767,-102.536,1107.01,347.938,-96.1598,1002.2
6,0,427.044,35.0433,1159.49,465.334,192.576,1142.07,489.432,342.004,1112.49,546.807,317.089,1066.45,430.38,328.693,994.442,394.875,384.47,863.308,402.704,323.409,851.299,356.024,319.089,779.377,443.726,-221.89,1154.18,465.837,-391.815,1124,506.286,-519.338,1095.55,575.439,-496.941,1059.91,448.471,-532.656,977.267,416.273,-577.389,851.588,427.818,-507.67,851.2,369.969,-497.791,781.355,498.742,-93.9463,1138.29,373.758,-102.482,1107.02,347.931,-96.1097,1002.2
7,0,427.097,35.1083,1159.47,465.424,192.631,1142,489.582,342.033,1112.37,546.915,317.11,1066.3,430.486,328.696,994.325,395.007,384.428,863.193,402.853,323.359,851.138,356.16,318.99,779.265,443.7,-221.873,1154.19,465.806,-391.801,1123.96,506.285,-519.318,1095.53,575.421,-496.907,1059.9,448.453,-532.633,977.249,416.216,-577.399,851.592,427.849,-507.702,851.184,370.07,-497.779,781.272,498.745,-93.9114,1138.27,373.752,-102.402,1107.03,347.925,-96.0476,1002.25
8,0,427.16,35.165,1159.45,465.548,192.658,1141.9,489.705,342.088,1112.25,547.047,317.079,1066.19,430.604,328.704,994.218,395.076,384.364,863.086,402.947,323.326,850.984,356.264,318.91,779.189,443.664,-221.854,1154.17,465.797,-391.782,1123.91,506.303,-519.292,1095.51,575.419,-496.89,1059.86,448.435,-532.619,977.242,416.053,-577.233,851.35,427.839,-507.756,851.154,370.095,-497.792,781.221,498.714,-93.8473,1138.25,373.751,-102.381,1107.06,347.909,-96.0223,1002.27
9,0,427.209,35.2329,1159.44,465.669,192.716,1141.82,489.832,342.118,1112.14,547.148,317.092,1066.03,430.687,328.718,994.119,395.127,384.328,862.988,403.017,323.321,850.863,356.311,318.881,779.131,443.644,-221.869,1154.15,465.805,-391.771,1123.87,506.325,-519.265,1095.5,575.393,-496.85,1059.81,448.38,-532.56,977.261,416.017,-577.459,851.645,427.784,-507.788,851.166,370.021,-497.847,781.222,498.709,-93.8215,1138.25,373.734,-102.33,1107.07,347.867,-95.9971,1002.28
