Trajectories
100
,,ValidationHealthy016:Rdeltoid,,,ValidationHealthy016:RMidArm,,,ValidationHealthy016:RElbRadial,,,ValidationHealthy016:RElbUlna,,,ValidationHealthy016:RMidForeArm,,,ValidationHealthy016:RWrist1,,,ValidationHealthy016:RWrist2,,,ValidationHealthy016:RFingerJoint,,,ValidationHealthy016:LDeltoid,,,ValidationHealthy016:LMidArm,,,ValidationHealthy016:LElbRadial,,,ValidationHealthy016:LElbUlna,,,ValidationHealthy016:LMidForearm,,,ValidationHealthy016:Lwrist1,,,ValidationHealthy016:LWrist2,,,ValidationHealthy016:LFingerJoint,,,ValidationHealthy016:C7,,,ValidationHealthy016:Neck,,,ValidationHealthy016:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,494.928,209.835,1137.95,569.071,378.811,1084.96,597.888,508.226,1014.68,672.06,470.506,961.645,555.73,570.517,848.292,539.416,597.805,728.915,542.271,517.242,717.019,490.201,530.315,655.916,508.122,-109.132,1129.26,561.515,-276.309,1091.93,590.366,-411.441,1037.48,655.025,-393.774,977.514,497.544,-437.386,897.162,465.366,-480.857,769.669,495.259,-408.135,759.393,453.631,-405.198,672.831,568.7,38.6967,1161.43,412.292,49.1063,1072.52,390.284,43.6563,999.218
2,0,494.938,209.836,1137.94,569.043,378.83,1085.01,597.819,508.274,1014.76,672.007,470.615,961.698,555.694,570.67,848.402,538.916,597.69,728.576,542.298,517.391,717.101,490.25,530.49,655.965,508.165,-109.12,1129.28,561.601,-276.265,1091.91,590.48,-411.414,1037.48,655.136,-393.715,977.503,497.663,-437.381,897.136,465.513,-480.809,769.642,495.343,-408.018,759.394,453.757,-405.135,672.815,568.721,38.7228,1161.43,412.339,49.1215,1072.53,390.325,43.6516,999.207
3,0,494.945,209.838,1137.93,569.011,378.851,1085.04,597.757,508.327,1014.85,671.955,470.719,961.759,555.641,570.772,848.497,538.874,597.848,728.677,542.279,517.589,717.152,490.275,530.666,656.005,508.199,-109.102,1129.28,561.686,-276.241,1091.91,590.595,-411.375,1037.48,655.232,-393.651,977.49,497.788,-437.358,897.119,465.649,-480.753,769.608,491.757,-403.164,760.809,453.863,-405.062,672.816,568.733,38.7403,1161.44,412.333,49.1117,1072.51,391.946,44.3248,999.199
4,0,494.946,209.826,1137.91,568.984,378.875,1085.07,597.692,508.38,1014.91,671.897,470.761,961.84,555.595,570.891,848.578,538.847,597.975,728.75,542.294,517.729,717.199,490.329,530.807,656.015,508.237,-109.096,1129.28,561.773,-276.198,1091.89,590.715,-411.341,1037.51,655.334,-393.581,977.494,497.909,-437.353,897.116,465.8,-480.705,769.598,491.86,-403.097,760.814,453.978,-404.985,672.825,568.753,38.7596,1161.43,412.383,49.1159,1072.46,390.357,43.6426,999.174
5,0,494.938,209.825,1137.9,568.962,378.889,1085.11,597.644,508.394,1014.98,671.872,470.848,961.899,555.538,570.929,848.662,538.804,598.114,728.876,542.321,517.864,717.236,490.382,530.937,656.045,508.272,-109.056,1129.26,561.865,-276.18,1091.9,590.816,-411.316,1037.53,655.431,-393.516,977.521,498.031,-437.301,897.094,465.97,-480.668,769.565,495.702,-407.81,759.431,454.072,-404.894,672.845,568.766,38.7744,1161.43,,,,390.424,43.6211,999.134
6,0,494.929,209.805,1137.88,568.936,378.898,1085.14,597.59,508.418,1015.03,671.851,470.922,961.96,555.51,571.008,848.761,538.787,598.247,728.961,542.339,517.984,717.321,490.381,531.084,656.1,508.321,-109.048,1129.27,561.954,-276.144,1091.93,590.896,-411.288,1037.59,655.526,-393.472,977.577,498.376,-436.612,896.681,466.132,-480.644,769.551,495.821,-407.811,759.486,454.12,-404.817,672.915,568.788,38.8016,1161.43,412.346,49.0702,1072.37,390.506,43.6431,999.11
7,0,494.922,209.824,1137.87,568.917,378.908,1085.16,597.561,508.442,1015.09,671.816,471.002,962.004,555.472,571.095,848.878,538.773,598.363,729.037,542.296,517.811,717.7,490.366,531.244,656.158,508.374,-109.029,1129.28,562.033,-276.109,1091.98,590.974,-411.278,1037.66,655.62,-393.449,977.651,498.486,-436.605,896.729,466.289,-480.619,769.563,495.926,-407.761,759.544,454.19,-404.703,673,568.809,38.8416,1161.41,412.492,49.0835,1072.39,390.563,43.6619,999.082
8,0,494.916,209.821,1137.84,568.898,378.913,1085.19,597.516,508.465,1015.15,671.783,471.058,962.087,555.489,571.18,848.957,538.797,598.497,729.106,542.261,518.24,717.462,490.328,531.409,656.21,508.419,-109.002,1129.26,562.101,-276.074,1092.03,591.029,-411.246,1037.69,655.701,-393.426,977.709,498.583,-436.584,896.732,466.424,-480.597,769.54,496.01,-407.685,759.604,454.262,-404.597,673.03,568.829,38.8662,1161.38,,,,390.641,43.6723,999.043
9,0,494.915,209.831,1137.81,568.877,378.948,1085.2,597.473,508.498,1015.19,671.773,471.127,962.122,555.486,571.285,849.031,538.854,598.641,729.192,542.228,518.083,717.836,490.293,531.579,656.251,508.463,-108.974,1129.25,562.165,-276.045,1092.06,591.092,-411.219,1037.73,655.777,-393.401,977.769,498.675,-436.564,896.772,466.552,-480.567,769.532,496.08,-407.627,759.653,454.297,-404.494,673.113,568.855,38.8921,1161.36,412.429,49.1105,1072.3,390.696,43.6885,999.001
