Trajectories
100
,,ValidationHealthy014:Rdeltoid,,,ValidationHealthy014:RMidArm,,,ValidationHealthy014:RElbRadial,,,ValidationHealthy014:RElbUlna,,,ValidationHealthy014:RMidForeArm,,,ValidationHealthy014:RWrist1,,,ValidationHealthy014:RWrist2,,,ValidationHealthy014:RFingerJoint,,,ValidationHealthy014:LDeltoid,,,ValidationHealthy014:LMidArm,,,ValidationHealthy014:LElbRadial,,,ValidationHealthy014:LElbUlna,,,ValidationHealthy014:LMidForearm,,,ValidationHealthy014:Lwrist1,,,ValidationHealthy014:LWrist2,,,ValidationHealthy014:LFingerJoint,,,ValidationHealthy014:C7,,,ValidationHealthy014:Neck,,,ValidationHealthy014:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,312.184,45.789,1123.98,325.192,203.334,1100.74,318.731,355.119,1066.42,366.596,347.618,1012.9,226.336,340.446,977.305,171.37,370.561,876.219,173.03,308.649,870.225,115.468,302.467,798.714,310.974,-199.935,1121.2,294.656,-355.6,1084.08,246.716,-473.23,1039.24,312.603,-478.96,1002.5,196.146,-429.717,935.67,148.899,-444.469,811.704,187.204,-394.338,813.262,126.607,-358.988,757.069,348.559,-74.9381,1135.23,240.048,-73.3961,1092.6,209.786,-73.3279,982.571
2,0,312.291,45.8828,1123.98,325.27,203.43,1100.68,318.791,355.167,1066.33,366.633,347.672,1012.79,226.393,340.447,977.238,171.376,370.516,876.153,173.507,308.36,870.78,115.482,302.378,798.708,311.121,-199.861,1121.23,294.742,-355.504,1084.15,246.739,-473.169,1039.4,312.601,-478.933,1002.64,196.191,-429.603,935.801,148.857,-444.32,811.863,187.197,-394.222,813.403,126.614,-358.846,757.213,348.661,-74.8628,1135.19,240.175,-73.2922,1092.6,209.904,-73.252,982.57
3,0,312.387,46.015,1124.01,325.379,203.492,1100.63,318.898,355.208,1066.27,366.688,347.732,1012.69,226.437,340.467,977.188,171.411,370.493,876.108,173.08,308.577,870.184,115.51,302.287,798.711,311.267,-199.767,1121.23,294.839,-355.419,1084.22,246.745,-473.045,1039.48,312.597,-478.874,1002.7,196.195,-429.494,935.935,148.806,-444.198,812.018,187.148,-394.1,813.517,126.597,-358.716,757.345,348.803,-74.8063,1135.2,240.305,-73.281,1092.58,210.041,-73.1858,982.596
4,0,312.555,46.1128,1124,325.483,203.56,1100.61,318.933,355.341,1066.21,366.764,347.799,1012.63,226.507,340.486,977.164,171.45,370.444,876.077,173.127,308.54,870.205,115.537,302.2,798.741,311.423,-199.687,1121.25,294.956,-355.315,1084.26,246.779,-472.936,1039.58,312.628,-478.822,1002.77,196.216,-429.398,936.04,148.738,-444.075,812.156,187.124,-393.997,813.649,126.543,-358.596,757.486,348.913,-74.7083,1135.17,240.424,-73.2006,1092.57,210.144,-73.1225,982.61
5,0,312.648,46.1861,1123.99,325.567,203.644,1100.59,319.028,355.386,1066.2,366.818,347.867,1012.62,226.571,340.485,977.162,171.493,370.411,876.065,173.162,308.531,870.209,115.587,302.104,798.778,311.558,-199.59,1121.26,295.061,-355.202,1084.29,246.789,-472.797,1039.62,312.672,-478.762,1002.82,196.234,-429.337,936.111,148.671,-443.974,812.292,187.059,-393.902,813.758,126.435,-359.634,757.639,349.019,-74.6126,1135.16,240.562,-73.1965,1092.59,210.251,-73.0763,982.634
6,0,312.756,46.24,1123.95,325.668,203.689,1100.58,319.101,355.454,1066.19,366.897,347.937,1012.61,226.638,340.503,977.177,170.904,370.452,875.904,173.639,308.233,870.803,115.661,302.044,798.814,311.68,-199.506,1121.28,295.147,-355.112,1084.32,246.86,-472.719,1039.68,312.733,-478.694,1002.85,196.243,-429.267,936.166,148.581,-443.868,812.42,187.009,-393.819,813.865,126.328,-358.458,757.812,349.109,-74.5196,1135.17,240.699,-73.1601,1092.58,210.351,-73.0369,982.65
7,0,312.87,46.314,1123.97,325.761,203.737,1100.6,319.176,355.52,1066.22,366.977,348.001,1012.64,226.676,340.527,977.214,170.978,370.436,875.956,173.726,308.26,870.779,115.738,302.01,798.87,311.794,-199.426,1121.29,295.253,-355.045,1084.34,246.945,-472.627,1039.73,312.798,-478.624,1002.88,196.266,-429.213,936.252,148.507,-443.774,812.557,186.949,-393.766,813.992,126.224,-358.424,757.977,349.198,-74.4104,1135.18,240.816,-73.1333,1092.59,210.449,-72.9964,982.689
8,0,312.936,46.3631,1123.98,325.819,203.829,1100.62,319.226,355.597,1066.22,367.053,348.077,1012.67,226.765,340.551,977.255,171.057,370.432,876.024,173.773,308.296,870.812,115.814,301.988,798.927,311.903,-199.345,1121.29,295.334,-354.97,1084.37,247.04,-472.564,1039.78,312.887,-478.576,1002.89,196.301,-429.144,936.325,148.425,-443.708,812.703,186.918,-393.701,814.113,126.11,-358.398,758.147,349.274,-74.3336,1135.16,240.909,-73.0766,1092.58,210.526,-72.9456,982.707
9,0,313.004,46.3944,1123.99,325.928,203.861,1100.65,319.295,355.658,1066.26,367.128,348.132,1012.72,226.823,340.564,977.321,171.137,370.471,876.119,173.805,308.36,870.936,115.893,302.007,799.015,312.019,-199.288,1121.31,295.437,-354.9,1084.38,247.158,-472.511,1039.84,312.983,-478.504,1002.92,196.366,-429.066,936.406,148.346,-443.644,812.843,186.86,-393.664,814.226,126.007,-359.328,758.299,349.342,-74.2547,1135.16,241.04,-73.0396,1092.59,210.601,-72.8693,982.718
10,0,313.102,46.4555,1124.01,326.015,203.911,1100.69,319.393,355.717,1066.32,367.214,348.181,1012.77,226.892,340.612,977.389,171.212,370.484,876.188,173.838,308.424,871.003,115.953,302.041,799.128,312.128,-199.221,1121.3,295.53,-354.829,1084.39,247.265,-472.466,1039.9,313.071,-478.448,1002.93,196.448,-429.009,936.492,148.286,-443.575,812.952,186.818,-393.611,814.316,126.078,-358.307,758.221,349.465,-74.23,1135.16,241.15,-73.0088,1092.6,210.695,-72.7973,982.744
11,0,313.215,46.514,1124.02,326.123,203.923,1100.71,319.467,355.764,1066.37,367.303,348.225,1012.83,226.977,340.673,977.469,171.27,370.543,876.292,173.866,308.468,871.113,116.001,302.11,799.235,312.256,-199.157,1121.29,295.663,-354.767,1084.39,247.369,-472.417,1039.94,313.157,-478.408,1002.97,196.545,-428.968,936.543,148.254,-443.535,813.052,186.793,-393.59,814.393,125.875,-358.385,758.548,349.559,-74.1652,1135.17,241.243,-72.9736,1092.6,210.785,-72.7325,982.775
12,0,313.349,46.5217,1124.04,326.246,203.96,1100.77,319.611,355.743,1066.48,367.379,348.283,1012.9,227.056,340.707,977.574,171.317,370.568,876.391,173.88,308.555,871.222,116.046,302.153,799.354,312.392,-199.094,1121.27,295.775,-354.708,1084.4,247.458,-472.376,1040,313.239,-478.374,1003,196.623,-428.948,936.608,148.254,-443.522,813.13,186.806,-393.597,814.462,125.853,-358.422,758.655,349.644,-74.1124,1135.17,241.355,-72.9528,1092.62,210.844,-72.6586,982.799
13,0,313.442,46.5354,1124.03,326.367,203.967,1100.82,319.739,355.756,1066.58,367.475,348.347,1012.98,227.142,340.751,977.684,171.364,370.644,876.515,173.598,308.774,870.977,116.103,302.216,799.476,312.517,-199.052,1121.26,295.887,-354.661,1084.42,247.542,-472.34,1040.04,313.294,-478.336,1003.03,196.673,-428.932,936.651,148.258,-443.503,813.203,186.842,-393.597,814.537,125.854,-358.42,758.743,349.72,-74.0571,1135.16,241.436,-72.9434,1092.61,210.912,-72.5994,982.839
