Trajectories
100
,,ValidationHealthy013:Rdeltoid,,,ValidationHealthy013:RMidArm,,,ValidationHealthy013:RElbRadial,,,ValidationHealthy013:RElbUlna,,,ValidationHealthy013:RMidForeArm,,,ValidationHealthy013:RWrist1,,,ValidationHealthy013:RWrist2,,,ValidationHealthy013:RFingerJoint,,,ValidationHealthy013:LDeltoid,,,ValidationHealthy013:LMidArm,,,ValidationHealthy013:LElbRadial,,,ValidationHealthy013:LElbUlna,,,ValidationHealthy013:LMidForearm,,,ValidationHealthy013:Lwrist1,,,ValidationHealthy013:LWrist2,,,ValidationHealthy013:LFingerJoint,,,ValidationHealthy013:C7,,,ValidationHealthy013:Neck,,,ValidationHealthy013:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,493.581,95.8486,1051.21,479.496,287.296,1001.57,478.483,376.898,970.743,554.221,377.025,947.475,427.435,371.754,862.723,386.105,378.495,746.922,438.612,345.925,724.809,368.177,340.194,674.386,496.993,-201.422,1036.25,452.055,-353.333,993.29,428.55,-466.765,955.18,492.974,-478.34,915.186,364.914,-439.902,852.586,327.942,-459.439,731.579,351.713,-396.766,733.18,321.205,-401.738,645.679,567.477,-41.2147,1042.35,425.179,-40.1794,1033.89,405.249,-75.3112,931.308
2,0,493.668,95.9435,1051.17,479.644,287.359,1001.49,478.638,376.963,970.643,554.367,377.066,947.345,427.559,371.786,862.627,386.205,378.436,746.802,438.686,345.942,724.696,368.264,340.216,674.323,496.981,-201.357,1036.28,451.906,-353.234,993.281,428.294,-466.64,955.144,492.725,-478.274,915.145,364.678,-439.753,852.54,327.667,-459.26,731.546,351.469,-396.596,733.137,320.91,-401.547,645.676,567.492,-41.1543,1042.35,425.225,-40.0877,1033.87,405.226,-75.2517,931.289
3,0,493.771,96.0271,1051.12,479.791,287.44,1001.4,478.797,377.03,970.536,554.519,377.103,947.211,427.675,371.812,862.514,386.291,378.496,746.714,438.8,345.958,724.627,368.318,340.216,674.266,496.967,-201.292,1036.29,451.761,-353.145,993.288,428.035,-466.522,955.116,492.465,-478.192,915.122,364.43,-439.639,852.499,327.406,-459.098,731.52,350.108,-395.2,732.959,320.619,-401.333,645.667,567.525,-41.0868,1042.35,425.265,-39.9961,1033.86,405.286,-75.1551,931.302
4,0,493.847,96.0976,1051.1,479.926,287.52,1001.31,478.982,377.094,970.463,554.671,377.174,947.089,427.8,371.858,862.422,386.397,378.534,746.64,438.857,345.926,724.53,368.386,340.2,674.218,496.958,-201.234,1036.3,451.597,-353.029,993.286,427.768,-466.401,955.099,492.178,-478.127,915.107,364.188,-439.524,852.458,327.139,-458.949,731.48,349.931,-395.072,732.892,320.337,-401.145,645.661,567.543,-41.0424,1042.37,425.298,-39.9096,1033.88,405.298,-75.0865,931.322
5,0,493.936,96.1506,1051.05,480.068,287.61,1001.21,479.156,377.157,970.343,554.846,377.193,946.93,427.928,371.907,862.332,386.493,378.603,746.561,438.959,345.958,724.462,368.419,340.252,674.148,496.924,-201.156,1036.33,451.432,-352.916,993.305,427.483,-466.257,955.069,491.883,-478.037,915.09,363.931,-439.394,852.428,326.873,-458.818,731.414,349.807,-395.029,732.825,320.084,-400.963,645.637,567.539,-41.0018,1042.39,425.336,-39.851,1033.89,405.28,-74.9953,931.334
6,0,494.019,96.2202,1051.01,480.221,287.691,1001.1,479.358,377.225,970.236,555.033,377.206,946.792,428.083,371.96,862.256,386.589,378.591,746.486,439.042,345.95,724.416,368.428,340.277,674.145,496.901,-201.091,1036.35,451.283,-352.789,993.312,427.198,-466.103,955.033,491.603,-477.968,915.085,363.69,-439.246,852.371,326.623,-458.697,731.352,349.671,-394.988,732.768,319.843,-400.8,645.624,567.521,-40.9435,1042.42,425.34,-39.7168,1033.91,405.297,-74.9106,931.374
7,0,494.094,96.267,1050.97,480.377,287.763,1001,479.567,377.29,970.143,555.224,377.227,946.644,428.223,372.021,862.173,386.695,378.675,746.437,439.071,345.878,724.307,368.443,340.313,674.108,496.861,-201.012,1036.36,451.109,-352.664,993.305,426.939,-465.963,954.982,491.335,-477.881,915.03,363.433,-439.078,852.285,326.358,-458.588,731.267,349.483,-394.905,732.685,319.605,-400.7,645.539,567.478,-40.8912,1042.45,425.338,-39.6054,1033.91,405.256,-74.8354,931.372
8,0,494.16,96.3063,1050.94,480.512,287.844,1000.9,479.751,377.359,970.025,555.396,377.238,946.504,428.367,372.093,862.105,386.794,378.728,746.377,439.17,345.932,724.25,368.46,340.317,674.079,496.819,-200.959,1036.36,450.964,-352.558,993.299,426.689,-465.83,954.932,491.081,-477.8,914.99,363.21,-438.905,852.221,326.092,-458.473,731.222,349.292,-394.852,732.613,319.374,-400.59,645.497,567.461,-40.842,1042.48,425.346,-39.5455,1033.91,405.211,-74.7168,931.397
9,0,494.208,96.347,1050.91,480.678,287.917,1000.84,479.939,377.41,969.95,555.561,377.258,946.372,428.513,372.152,862.03,386.889,378.782,746.314,439.209,345.862,724.167,368.495,340.331,674.064,496.767,-200.91,1036.36,450.792,-352.441,993.25,426.473,-465.714,954.88,490.835,-477.728,914.93,362.959,-438.746,852.169,325.824,-458.355,731.172,349.079,-394.772,732.558,319.131,-400.509,645.414,567.431,-40.7909,1042.47,425.328,-39.4805,1033.91,405.163,-74.6744,931.38
