Trajectories
100
,,ValidationHealthy012:Rdeltoid,,,ValidationHealthy012:RMidArm,,,ValidationHealthy012:RElbRadial,,,ValidationHealthy012:RElbUlna,,,ValidationHealthy012:RMidForeArm,,,ValidationHealthy012:RWrist1,,,ValidationHealthy012:RWrist2,,,ValidationHealthy012:RFingerJoint,,,ValidationHealthy012:LDeltoid,,,ValidationHealthy012:LMidArm,,,ValidationHealthy012:LElbRadial,,,ValidationHealthy012:LElbUlna,,,ValidationHealthy012:LMidForearm,,,ValidationHealthy012:Lwrist1,,,ValidationHealthy012:LWrist2,,,ValidationHealthy012:LFingerJoint,,,ValidationHealthy012:C7,,,ValidationHealthy012:Neck,,,ValidationHealthy012:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,419.869,157.16,1071.76,413.116,320.674,1020.96,432.352,445.216,986.406,483.771,426.786,921.227,343.819,455.052,897.348,280.663,491.474,787.748,295.68,424.783,792.98,252.696,412.325,716.635,423.506,-106.832,1078.64,418.124,-285.498,1038.28,435.001,-403.188,1004.88,498.74,-380.711,954.38,352.891,-416.505,894.709,313.462,-477.917,796.675,339.124,-409.561,784.821,279.336,-411.579,717.81,473.898,25.1282,1088.4,349.888,26.1544,1060.69,308.184,16.7809,932.569
2,0,419.88,157.128,1071.76,413.107,320.656,1020.97,432.344,445.203,986.406,483.81,426.803,921.25,343.821,455.031,897.337,280.672,491.477,787.747,295.698,424.751,792.969,252.748,412.292,716.623,423.488,-106.852,1078.63,418.121,-285.502,1038.29,434.989,-403.194,1004.89,498.749,-380.742,954.423,352.907,-416.518,894.712,313.51,-477.905,796.649,339.186,-409.551,784.824,279.42,-411.572,717.773,473.903,25.0813,1088.4,349.875,26.1253,1060.68,308.397,17.0459,932.479
3,0,419.915,157.105,1071.74,413.12,320.627,1020.97,432.361,445.183,986.395,483.843,426.794,921.246,343.85,454.985,897.319,280.711,491.389,787.716,295.711,424.711,792.958,252.79,412.247,716.595,423.463,-106.874,1078.63,418.088,-285.516,1038.28,434.976,-403.218,1004.9,498.762,-380.765,954.456,352.938,-416.491,894.684,313.557,-477.898,796.598,339.265,-409.547,784.797,279.512,-411.563,717.717,473.884,25.0602,1088.4,349.862,26.1151,1060.68,308.216,16.7473,932.502
4,0,419.966,157.074,1071.72,413.144,320.603,1020.93,432.381,445.164,986.361,483.891,426.831,921.214,343.87,454.963,897.302,280.703,491.397,787.715,295.741,424.674,792.933,252.804,412.205,716.551,423.425,-106.887,1078.63,418.043,-285.528,1038.26,434.951,-403.247,1004.9,498.779,-380.787,954.482,352.97,-416.518,894.638,313.644,-477.904,796.52,339.327,-409.541,784.735,279.615,-411.525,717.639,473.877,25.0475,1088.4,349.829,26.1798,1060.7,308.234,16.7381,932.471
5,0,420.013,157.067,1071.7,413.209,320.572,1020.93,432.427,445.126,986.327,483.879,426.743,921.195,343.892,454.916,897.278,280.736,491.337,787.713,295.75,424.619,792.904,252.795,412.189,716.513,423.365,-106.891,1078.64,417.965,-285.548,1038.21,434.915,-403.251,1004.86,498.775,-380.784,954.494,353.019,-416.519,894.573,313.725,-477.898,796.414,339.42,-409.54,784.672,279.73,-411.508,717.566,473.865,25.0139,1088.41,349.803,26.1852,1060.7,307.934,16.6232,932.279
6,0,420.023,157.059,1071.69,413.272,320.543,1020.91,432.478,445.111,986.294,483.944,426.78,921.113,343.933,454.871,897.251,280.78,491.247,787.68,295.791,424.578,792.881,252.784,412.141,716.513,423.306,-106.894,1078.66,417.908,-285.579,1038.17,434.882,-403.259,1004.81,498.78,-380.784,954.505,353.029,-416.545,894.484,313.822,-477.899,796.305,339.517,-409.531,784.59,279.842,-411.48,717.458,473.835,25.0159,1088.43,349.788,26.1572,1060.68,308.242,16.7162,932.369
7,0,420.03,157.043,1071.68,413.351,320.517,1020.93,432.554,445.069,986.262,483.858,426.542,921.069,344.007,454.814,897.231,280.863,491.124,787.655,295.768,424.535,792.874,252.783,412.071,716.543,423.264,-106.891,1078.68,417.848,-285.582,1038.12,434.872,-403.275,1004.76,498.789,-380.794,954.516,353.07,-416.591,894.42,313.9,-477.893,796.187,339.617,-409.538,784.511,279.972,-411.491,717.352,473.819,24.9995,1088.46,349.757,26.1675,1060.66,308.392,16.9268,932.281
8,0,420.013,157.037,1071.68,413.43,320.495,1020.93,432.631,445.038,986.204,484.021,426.675,921.007,344.079,454.784,897.199,280.958,491.061,787.648,295.786,424.477,792.889,252.757,412.017,716.579,423.23,-106.9,1078.72,417.825,-285.604,1038.1,434.857,-403.283,1004.72,498.784,-380.781,954.494,353.106,-416.591,894.344,313.986,-477.878,796.076,339.724,-409.525,784.423,280.096,-411.443,717.233,473.805,24.9962,1088.49,349.73,26.1928,1060.66,308.385,16.8829,932.243
9,0,420.021,157.021,1071.67,413.496,320.459,1020.92,432.715,444.989,986.151,484.125,426.608,920.955,344.111,454.75,897.166,281.04,491.007,787.636,295.813,424.42,792.897,252.731,411.976,716.602,423.193,-106.91,1078.75,417.824,-285.617,1038.09,434.863,-403.294,1004.67,498.819,-380.791,954.487,353.156,-416.576,894.257,314.068,-477.845,795.964,339.826,-409.503,784.337,280.227,-411.384,717.131,473.787,25.0014,1088.51,349.723,26.2103,1060.68,308.242,16.6336,932.282
10,0,420.029,157.022,1071.65,413.799,320.339,1021.08,432.802,444.963,986.108,484.26,426.639,920.96,344.204,454.724,897.155,281.09,490.927,787.599,295.867,424.404,792.855,252.765,411.917,716.592,423.165,-106.915,1078.77,417.831,-285.633,1038.07,434.877,-403.305,1004.62,498.868,-380.794,954.464,353.217,-416.592,894.212,314.157,-477.809,795.854,339.934,-409.452,784.263,280.348,-411.338,717.014,473.772,24.9881,1088.53,349.701,26.2118,1060.66,308.379,16.8274,932.179
11,0,420.035,157.028,1071.62,413.666,320.4,1020.91,432.888,444.922,986.085,486.886,423.927,920.352,344.279,454.667,897.112,281.217,490.862,787.591,295.939,424.359,792.829,252.848,411.846,716.599,423.136,-106.929,1078.8,417.85,-285.661,1038.08,434.905,-403.319,1004.56,498.911,-380.775,954.441,353.292,-416.579,894.134,314.274,-477.776,795.737,340.037,-409.411,784.185,280.455,-411.24,716.923,473.774,24.9674,1088.55,349.696,26.2059,1060.64,308.396,16.7987,932.161
12,0,420.061,157.017,1071.62,413.698,320.373,1020.9,432.954,444.897,986.065,486.895,423.893,920.289,344.35,454.614,897.072,281.266,490.85,787.562,296.025,424.306,792.793,252.932,411.788,716.574,423.104,-106.939,1078.82,417.858,-285.678,1038.05,434.935,-403.347,1004.53,498.961,-380.777,954.426,353.374,-416.601,894.074,314.388,-477.747,795.618,340.155,-409.372,784.132,280.594,-411.229,716.868,473.759,24.98,1088.55,349.688,26.2335,1060.63,308.372,16.7522,932.138
13,0,420.07,157.002,1071.61,413.742,320.357,1020.9,433.017,444.863,986.044,486.955,423.947,920.355,344.426,454.573,897.049,281.355,490.8,787.52,296.086,424.275,792.759,253.029,411.728,716.531,423.076,-106.945,1078.83,417.879,-285.703,1038.04,434.984,-403.367,1004.5,499.03,-380.764,954.412,353.426,-416.564,893.989,314.49,-477.725,795.528,340.264,-409.345,784.083,280.722,-411.171,716.821,473.751,24.9762,1088.56,349.69,26.2514,1060.62,308.364,16.7574,932.136
14,0,420.09,156.986,1071.62,413.779,320.323,1020.91,433.085,444.867,986.043,486.987,424.138,920.487,344.525,454.575,897.022,281.573,490.644,787.451,296.194,424.23,792.744,253.161,411.668,716.5,423.061,-106.973,1078.84,417.888,-285.71,1038.02,435.05,-403.39,1004.49,499.118,-380.749,954.407,353.537,-416.585,893.961,314.624,-477.702,795.444,340.394,-409.318,784.047,280.864,-411.14,716.779,473.755,24.9631,1088.58,349.708,26.2453,1060.61,308.373,16.755,932.128
15,0,420.088,156.975,1071.61,413.811,320.312,1020.91,433.132,444.859,986.041,487.07,423.988,920.407,344.639,454.604,897.008,281.644,490.657,787.409,296.312,424.214,792.685,253.314,411.617,716.458,423.028,-106.983,1078.85,417.892,-285.744,1038,435.12,-403.412,1004.47,499.202,-380.762,954.43,353.65,-416.603,893.932,314.778,-477.695,795.385,340.519,-409.296,784.012,280.996,-411.074,716.736,473.757,24.9426,1088.57,349.711,26.2266,1060.6,308.453,16.7518,932.155
16,0,420.091,156.959,1071.61,413.796,320.31,1020.89,433.175,444.857,986.03,487.174,423.88,920.403,344.709,454.598,896.973,281.757,490.603,787.316,296.406,424.201,792.629,253.43,411.594,716.365,423.024,-107.011,1078.84,417.916,-285.779,1037.99,435.202,-403.436,1004.46,499.305,-380.767,954.434,353.761,-416.623,893.893,314.922,-477.705,795.335,340.646,-409.279,783.98,281.126,-411.03,716.689,473.747,24.9177,1088.57,349.703,26.2243,1060.59,308.477,16.7535,932.124
17,0,420.091,156.947,1071.6,413.823,320.307,1020.89,433.207,444.842,986.03,486.437,425.445,920.308,344.812,454.595,896.944,281.879,490.577,787.237,296.528,424.184,792.58,253.561,411.636,716.232,423.03,-107.013,1078.82,417.941,-285.791,1037.97,435.279,-403.463,1004.47,499.39,-380.759,954.448,353.856,-416.621,893.861,315.085,-477.724,795.291,340.779,-409.289,783.949,281.257,-411,716.654,473.741,24.8986,1088.57,349.693,26.2055,1060.57,308.507,16.7725,932.129
18,0,420.093,156.94,1071.58,413.818,320.289,1020.85,433.246,444.832,986.003,486.418,425.387,920.332,344.901,454.59,896.907,281.963,490.58,787.169,296.649,424.179,792.502,253.703,411.636,716.151,423.036,-107.045,1078.8,417.995,-285.801,1037.95,435.368,-403.471,1004.46,499.479,-380.744,954.462,353.977,-416.622,893.831,315.236,-477.747,795.273,340.938,-409.298,783.928,281.401,-410.988,716.62,473.737,24.883,1088.57,349.692,26.2013,1060.56,308.539,16.757,932.088
19,0,420.08,156.93,1071.59,413.846,320.268,1020.84,433.293,444.808,985.967,487.411,423.981,920.374,344.989,454.565,896.845,282.065,490.591,787.095,296.763,424.18,792.472,253.901,411.628,716.139,423.056,-107.047,1078.77,418.046,-285.789,1037.93,435.469,-403.466,1004.46,499.569,-380.739,954.484,354.078,-416.645,893.823,315.361,-477.783,795.248,341.079,-409.337,783.928,281.527,-411.039,716.59,473.728,24.8761,1088.58,349.69,26.1506,1060.54,308.579,16.7688,932.078
20,0,420.062,156.928,1071.58,413.849,320.293,1020.81,433.377,444.778,985.951,487.455,423.955,920.444,345.088,454.595,896.81,282.192,490.622,787.04,296.865,424.198,792.422,253.972,411.653,716.04,423.06,-107.057,1078.76,418.126,-285.8,1037.92,435.554,-403.469,1004.46,499.666,-380.719,954.478,354.221,-416.678,893.822,315.489,-477.849,795.236,341.21,-409.407,783.913,281.652,-411.113,716.567,473.732,24.8616,1088.57,349.692,26.1359,1060.52,308.443,16.5319,932.075
21,0,420.053,156.949,1071.57,413.905,320.277,1020.8,433.458,444.777,985.911,487.513,423.869,920.313,345.191,454.626,896.762,282.268,490.708,786.993,296.935,424.218,792.373,254.074,411.703,715.986,423.076,-107.06,1078.75,418.206,-285.824,1037.94,435.646,-403.483,1004.47,499.741,-380.722,954.501,354.319,-416.708,893.782,315.638,-477.943,795.244,341.315,-409.461,783.902,281.766,-411.177,716.547,473.717,24.871,1088.57,349.685,26.1691,1060.5,308.462,16.5223,932.046
22,0,420.04,156.951,1071.57,413.922,320.32,1020.76,433.521,444.785,985.849,487.621,423.763,920.262,345.244,454.645,896.702,282.385,490.818,786.951,296.999,424.271,792.331,254.156,411.732,715.95,423.089,-107.066,1078.73,418.286,-285.818,1037.91,435.728,-403.489,1004.45,499.804,-380.703,954.471,354.424,-416.781,893.765,315.783,-478.041,795.215,341.436,-409.545,783.846,281.867,-411.264,716.514,473.713,24.8959,1088.56,349.681,26.1681,1060.48,308.499,16.5018,932.02
23,0,420.047,156.964,1071.56,413.975,320.322,1020.72,433.596,444.784,985.79,487.682,423.756,920.213,345.303,454.666,896.619,282.42,490.942,786.903,297.084,424.305,792.251,254.172,411.775,715.898,423.118,-107.074,1078.72,418.337,-285.823,1037.9,435.797,-403.472,1004.44,499.857,-380.686,954.466,354.52,-416.881,893.763,315.896,-478.125,795.186,341.545,-409.651,783.79,281.995,-411.372,716.46,473.708,24.9124,1088.53,349.695,26.1952,1060.47,308.534,16.4717,931.999
24,0,420.044,156.985,1071.54,414.043,320.323,1020.7,433.664,444.807,985.725,487.603,423.728,920.276,345.398,454.716,896.562,282.514,490.952,786.816,297.141,424.354,792.151,254.228,411.777,715.842,423.142,-107.061,1078.7,418.376,-285.817,1037.89,435.857,-403.465,1004.41,499.913,-380.667,954.453,354.609,-416.937,893.723,316.015,-478.194,795.153,341.645,-409.711,783.746,282.113,-411.479,716.393,473.735,24.9064,1088.55,349.698,26.1887,1060.45,308.286,16.3291,931.836
25,0,420.064,156.988,1071.51,414.076,320.333,1020.66,433.716,444.806,985.668,487.693,423.431,920.047,345.43,454.745,896.499,282.511,491.026,786.738,297.217,424.38,792.089,254.303,411.771,715.796,423.149,-107.051,1078.72,418.413,-285.803,1037.89,435.889,-403.459,1004.42,499.956,-380.638,954.451,354.687,-416.965,893.704,316.13,-478.244,795.133,341.752,-409.766,783.708,282.223,-411.556,716.352,473.739,24.9175,1088.54,349.71,26.1937,1060.43,308.524,16.412,931.911
26,0,420.075,156.988,1071.5,414.106,320.33,1020.62,433.757,444.788,985.618,487.752,423.44,919.992,345.458,454.705,896.423,282.599,491.03,786.688,297.265,424.388,792.028,254.358,411.819,715.707,423.158,-107.033,1078.72,418.425,-285.783,1037.88,435.922,-403.441,1004.42,499.991,-380.631,954.47,354.754,-416.954,893.681,316.221,-478.268,795.112,341.835,-409.794,783.69,282.351,-411.635,716.317,473.74,24.938,1088.54,349.73,26.1825,1060.42,308.331,16.2997,931.812
27,0,420.097,156.994,1071.49,414.16,320.337,1020.6,433.789,444.798,985.563,487.781,423.62,920.093,345.512,454.706,896.352,282.656,491.078,786.618,297.347,424.397,791.97,254.461,411.818,715.667,423.178,-107.003,1078.71,418.464,-285.753,1037.88,435.971,-403.41,1004.43,500.039,-380.613,954.488,354.821,-416.939,893.659,316.31,-478.268,795.105,341.917,-409.793,783.68,282.447,-411.648,716.283,473.757,24.9399,1088.53,349.758,26.1787,1060.42,308.356,16.3076,931.802
28,0,420.115,156.993,1071.47,414.192,320.341,1020.57,433.817,444.784,985.519,487.141,422.927,919.726,345.535,454.669,896.276,282.719,491.033,786.527,297.375,424.379,791.896,254.494,411.817,715.572,423.211,-106.99,1078.69,418.48,-285.726,1037.88,436.015,-403.4,1004.44,500.105,-380.595,954.51,354.883,-416.901,893.633,316.381,-478.254,795.106,341.994,-409.788,783.679,282.521,-411.608,716.279,473.77,24.9436,1088.51,349.788,26.1393,1060.4,308.365,16.3224,931.796
29,0,420.104,157.03,1071.43,414.195,320.348,1020.53,433.841,444.774,985.461,487.523,423.638,919.992,345.578,454.676,896.214,282.752,491.034,786.451,297.437,424.367,791.846,254.53,411.787,715.482,423.237,-106.968,1078.68,418.519,-285.716,1037.88,436.073,-403.38,1004.45,500.163,-380.585,954.526,354.914,-416.872,893.651,316.439,-478.225,795.119,342.061,-409.768,783.697,282.572,-411.564,716.267,473.76,24.9618,1088.49,349.783,26.1509,1060.37,308.613,16.4287,931.894
30,0,420.104,157.027,1071.41,414.201,320.373,1020.49,433.854,444.776,985.43,486.931,425.134,919.811,345.604,454.687,896.174,282.774,491.005,786.372,297.482,424.347,791.765,254.568,411.783,715.4,423.26,-106.961,1078.68,418.563,-285.717,1037.91,436.136,-403.369,1004.48,500.226,-380.57,954.551,354.95,-416.848,893.679,316.506,-478.212,795.147,342.105,-409.742,783.721,282.624,-411.536,716.317,473.779,24.9587,1088.49,349.78,26.1665,1060.35,308.655,16.4486,931.87
31,0,420.103,157.043,1071.39,414.203,320.392,1020.47,433.869,444.787,985.407,487.615,423.592,920.035,345.604,454.671,896.131,282.861,490.989,786.325,297.535,424.324,791.743,254.631,411.731,715.347,423.274,-106.956,1078.69,418.604,-285.716,1037.92,436.19,-403.339,1004.47,500.277,-380.537,954.555,355.046,-416.883,893.759,316.545,-478.214,795.164,342.147,-409.727,783.76,282.65,-411.538,716.365,473.773,24.9638,1088.48,349.807,26.1702,1060.33,308.485,16.3766,931.773
32,0,420.097,157.046,1071.38,414.167,320.404,1020.43,433.857,444.796,985.384,487.752,423.566,919.785,345.641,454.656,896.089,282.931,490.854,786.234,297.549,424.289,791.726,254.677,411.689,715.299,423.269,-106.945,1078.71,418.625,-285.705,1037.95,436.232,-403.343,1004.52,500.323,-380.505,954.576,355.083,-416.848,893.773,316.623,-478.2,795.188,342.185,-409.701,783.802,282.685,-411.493,716.401,473.767,25,1088.49,349.795,26.2018,1060.32,308.505,16.3615,931.723
33,0,420.075,157.039,1071.38,414.127,320.403,1020.39,433.837,444.795,985.38,486.971,424.043,919.976,345.633,454.649,896.057,282.969,490.852,786.208,297.551,424.253,791.691,254.739,411.664,715.29,423.247,-106.926,1078.73,418.631,-285.684,1037.98,436.253,-403.318,1004.56,500.353,-380.475,954.628,355.138,-416.873,893.831,316.693,-478.193,795.206,342.253,-409.666,783.831,282.746,-411.472,716.439,473.745,25.0227,1088.49,349.791,26.1985,1060.32,308.531,16.3759,931.682
34,0,420.073,157.04,1071.38,414.116,320.434,1020.38,433.842,444.807,985.356,486.872,425.136,919.845,345.653,454.62,896.02,282.995,490.825,786.177,297.573,424.237,791.656,254.795,411.623,715.259,423.228,-106.899,1078.76,418.63,-285.663,1037.99,436.265,-403.314,1004.61,500.379,-380.477,954.696,355.166,-416.839,893.845,316.786,-478.162,795.2,342.338,-409.636,783.847,282.827,-411.38,716.432,473.735,25.0194,1088.51,349.789,26.2221,1060.31,308.742,16.489,931.744
35,0,420.08,157.031,1071.36,414.105,320.424,1020.34,433.862,444.807,985.333,487.766,423.47,919.764,345.66,454.608,896.002,283.031,490.784,786.165,297.634,424.229,791.631,254.831,411.605,715.22,423.205,-106.859,1078.76,418.611,-285.624,1038.01,436.278,-403.294,1004.64,500.43,-380.477,954.777,355.219,-416.837,893.862,316.891,-478.127,795.19,342.435,-409.613,783.84,282.93,-411.324,716.453,473.724,25.0219,1088.52,349.772,26.1975,1060.3,308.75,16.4844,931.715
36,0,420.081,157.019,1071.35,414.131,320.403,1020.34,433.896,444.799,985.326,486.336,425.251,920.132,345.7,454.611,895.984,283.059,490.768,786.147,297.647,424.218,791.613,254.857,411.601,715.202,423.182,-106.819,1078.76,418.58,-285.596,1038.03,436.287,-403.26,1004.68,500.457,-380.44,954.843,355.267,-416.778,893.831,316.994,-478.076,795.164,342.557,-409.554,783.861,283.058,-411.252,716.462,473.715,25.023,1088.53,349.758,26.1608,1060.28,308.743,16.4845,931.666
37,0,420.103,157.016,1071.33,414.182,320.398,1020.35,433.925,444.806,985.314,486.483,425.287,920.113,345.737,454.611,895.993,283.1,490.813,786.178,297.669,424.237,791.638,254.856,411.613,715.216,423.174,-106.791,1078.77,418.577,-285.562,1038.07,436.315,-403.246,1004.76,500.521,-380.415,954.931,355.324,-416.735,893.836,317.106,-478.036,795.192,342.677,-409.528,783.897,283.213,-411.181,716.462,473.68,25.0331,1088.53,349.73,26.1814,1060.29,308.559,16.3908,931.577
38,0,420.101,157.014,1071.33,414.248,320.396,1020.36,434.006,444.814,985.34,486.555,425.263,920.084,345.822,454.668,896.026,283.135,490.773,786.175,297.691,424.228,791.663,254.839,411.622,715.266,423.158,-106.78,1078.78,418.589,-285.52,1038.12,436.369,-403.232,1004.84,500.608,-380.416,955.053,355.423,-416.702,893.909,317.216,-477.99,795.208,342.818,-409.488,783.954,283.366,-411.128,716.522,473.661,25.0277,1088.55,349.708,26.2002,1060.3,308.548,16.3921,931.586
