Trajectories
100
,,ValidationHealthy006:Rdeltoid,,,ValidationHealthy006:RMidArm,,,ValidationHealthy006:RElbRadial,,,ValidationHealthy006:RElbUlna,,,ValidationHealthy006:RMidForeArm,,,ValidationHealthy006:RWrist1,,,ValidationHealthy006:RWrist2,,,ValidationHealthy006:RFingerJoint,,,ValidationHealthy006:LDeltoid,,,ValidationHealthy006:LMidArm,,,ValidationHealthy006:LElbRadial,,,ValidationHealthy006:LElbUlna,,,ValidationHealthy006:LMidForearm,,,ValidationHealthy006:Lwrist1,,,ValidationHealthy006:LWrist2,,,ValidationHealthy006:LFingerJoint,,,ValidationHealthy006:C7,,,ValidationHealthy006:Neck,,,ValidationHealthy006:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,669.551,68.6257,973.884,716.181,210.443,922.504,754.895,311.028,890.468,811.563,275.335,831.763,679.298,335.877,781.136,636.461,370.083,674.26,645.346,299.854,655.196,574.614,314.594,614.825,658.362,-244.965,989.884,711.372,-402.917,946.729,764.177,-515.001,916.961,807.961,-497.774,852.49,664.562,-507.114,807.635,609.675,-567.197,703.665,639.018,-517.881,678.261,559.372,-518.309,641.967,710.13,-107.413,983.135,574.478,-105.436,951.359,537.117,-104.26,876.218
2,0,669.539,68.6295,973.885,716.158,210.446,922.519,754.865,311.051,890.509,811.567,275.331,831.808,679.282,335.9,781.17,636.473,370.111,674.29,645.353,299.88,655.219,574.635,314.636,614.829,658.402,-244.959,989.901,711.45,-402.892,946.804,764.304,-514.968,917.065,808.088,-497.745,852.596,664.71,-507.125,807.757,609.822,-567.207,703.783,639.21,-517.6,678.393,559.539,-518.309,642.032,710.125,-107.394,983.136,574.512,-105.44,951.338,537.137,-104.277,876.222
3,0,669.534,68.6344,973.878,716.114,210.458,922.538,754.819,311.069,890.542,811.568,275.339,831.862,679.247,335.924,781.195,636.481,370.156,674.31,645.377,299.887,655.244,574.658,314.633,614.834,658.432,-244.949,989.913,711.523,-402.884,946.855,764.41,-514.938,917.164,808.211,-497.728,852.716,664.85,-507.116,807.835,609.84,-567.185,703.626,633.241,-506.276,682.556,559.709,-518.36,642.12,710.135,-107.41,983.151,574.522,-105.448,951.308,537.167,-104.283,876.226
4,0,669.538,68.6424,973.87,716.076,210.499,922.554,754.8,311.097,890.561,811.549,275.392,831.889,679.231,335.917,781.196,636.458,370.153,674.318,645.398,299.904,655.237,574.695,314.618,614.801,658.471,-244.947,989.914,711.597,-402.877,946.911,764.526,-514.941,917.279,808.334,-497.708,852.815,664.988,-507.163,807.934,609.997,-567.25,703.716,633.376,-506.297,682.622,559.894,-518.462,642.185,710.145,-107.406,983.159,574.538,-105.465,951.29,537.2,-104.305,876.227
5,0,669.527,68.6688,973.845,716.032,210.535,922.562,754.767,311.134,890.574,811.52,275.466,831.916,679.214,335.936,781.215,636.455,370.125,674.34,645.423,299.889,655.246,574.701,314.57,614.789,658.495,-244.922,989.901,711.649,-402.866,946.935,764.609,-514.936,917.357,808.437,-497.706,852.902,665.108,-507.203,807.995,610.17,-567.349,703.756,633.484,-506.37,682.69,560.07,-518.59,642.191,710.111,-107.317,983.137,574.552,-105.46,951.245,537.222,-104.311,876.224
6,0,669.506,68.6987,973.813,715.996,210.575,922.551,754.723,311.175,890.572,811.469,275.529,831.951,679.185,335.947,781.208,636.438,370.088,674.307,645.422,299.882,655.238,574.686,314.519,614.749,658.514,-244.912,989.894,711.695,-402.855,946.945,764.687,-514.922,917.403,808.537,-497.705,852.954,665.215,-507.278,808.005,610.342,-567.479,703.766,633.616,-506.495,682.707,560.236,-518.763,642.169,710.09,-107.252,983.142,574.577,-105.461,951.213,537.251,-104.318,876.21
7,0,669.49,68.7308,973.788,715.972,210.607,922.535,754.687,311.21,890.57,811.438,275.6,831.952,679.151,335.968,781.201,636.423,370.042,674.281,645.405,299.915,655.203,574.673,314.505,614.73,658.54,-244.904,989.886,711.744,-402.85,946.935,764.76,-514.903,917.414,808.623,-497.68,852.966,665.304,-507.374,808.004,610.49,-567.637,703.755,633.662,-506.553,682.702,560.424,-518.952,642.121,710.058,-107.153,983.118,574.592,-105.455,951.188,537.275,-104.313,876.207
8,0,669.458,68.7598,973.781,715.931,210.647,922.511,754.639,311.251,890.554,811.398,275.67,831.944,679.108,335.982,781.171,636.405,370.042,674.25,645.396,299.913,655.191,574.652,314.461,614.697,658.561,-244.908,989.873,711.783,-402.843,946.9,764.83,-514.889,917.411,808.681,-497.644,852.943,665.377,-507.462,807.978,610.638,-567.797,703.703,633.756,-506.713,682.649,560.544,-519.22,642.052,710.05,-107.113,983.122,574.584,-105.455,951.16,537.294,-104.309,876.183
9,0,669.43,68.8027,973.744,715.849,210.699,922.47,754.571,311.3,890.528,811.333,275.736,831.926,679.056,336.025,781.133,636.354,370.032,674.177,645.374,299.915,655.162,574.622,314.439,614.64,658.579,-244.899,989.866,711.813,-402.838,946.831,764.906,-514.849,917.358,808.728,-497.597,852.865,665.445,-507.558,807.887,610.766,-567.988,703.648,633.749,-506.789,682.581,560.659,-519.457,641.949,710.016,-107.046,983.105,574.607,-105.433,951.117,537.307,-104.29,876.153
10,0,669.422,68.8212,973.719,715.784,210.739,922.432,754.485,311.35,890.495,811.301,275.764,831.911,678.984,336.061,781.098,636.84,369.991,674.399,644.938,299.344,655.463,574.577,314.386,614.554,658.594,-244.907,989.826,711.857,-402.83,946.753,764.97,-514.825,917.269,808.774,-497.554,852.778,665.481,-507.657,807.812,610.885,-568.177,703.564,633.885,-507.023,682.46,560.771,-519.732,641.828,709.987,-106.974,983.083,574.62,-105.429,951.1,537.321,-104.299,876.123
11,0,669.384,68.8384,973.672,715.685,210.794,922.386,754.403,311.376,890.439,811.207,275.837,831.866,678.928,336.061,781.019,636.785,369.941,674.297,644.91,299.391,655.307,574.528,314.299,614.44,658.61,-244.899,989.783,711.888,-402.828,946.66,765.027,-514.809,917.17,808.798,-497.507,852.647,665.552,-507.747,807.676,610.994,-568.364,703.441,634.014,-507.28,682.293,560.863,-519.988,641.702,709.981,-106.946,983.068,574.638,-105.411,951.075,537.327,-104.294,876.094
12,0,669.354,68.8573,973.647,715.654,210.791,922.342,754.331,311.403,890.379,811.139,275.88,831.852,678.858,336.055,780.95,636.702,369.929,674.22,644.886,299.414,655.223,574.508,314.239,614.342,658.622,-244.917,989.747,711.928,-402.85,946.575,765.068,-514.807,917.067,808.836,-497.497,852.529,665.585,-507.856,807.592,611.1,-568.559,703.335,634.015,-507.428,682.176,560.942,-520.247,641.577,709.941,-106.884,983.041,574.645,-105.451,951.065,537.335,-104.302,876.049
13,0,669.336,68.8635,973.605,715.57,210.838,922.304,754.256,311.43,890.316,811.077,275.911,831.819,678.783,336.025,780.85,636.619,369.908,674.157,644.849,299.396,655.114,574.444,314.187,614.247,658.642,-244.937,989.707,711.957,-402.875,946.472,765.087,-514.815,916.953,808.843,-497.491,852.389,665.623,-507.937,807.426,611.176,-568.726,703.207,634.064,-507.607,682.023,560.983,-520.474,641.427,709.914,-106.826,982.998,574.654,-105.431,951.031,537.351,-104.33,876.028
14,0,669.339,68.8752,973.586,715.538,210.87,922.274,754.205,311.44,890.261,811.031,275.923,831.75,678.712,336.035,780.803,636.183,369.871,673.918,644.771,299.384,655.048,574.325,314.066,614.138,658.646,-244.948,989.67,711.98,-402.908,946.364,765.102,-514.828,916.839,808.856,-497.499,852.265,665.637,-508.012,807.235,611.247,-568.869,703.04,634.106,-507.739,681.868,561.047,-520.668,641.286,709.886,-106.782,982.978,574.698,-105.455,951.009,537.364,-104.347,876.003
15,0,669.333,68.8952,973.561,715.561,210.876,922.254,754.14,311.476,890.18,810.964,275.973,831.679,678.633,336.034,780.724,636.081,369.835,673.863,644.65,299.294,655.027,574.253,314.071,614.102,658.656,-244.966,989.638,711.985,-402.929,946.255,765.108,-514.844,916.704,808.843,-497.501,852.139,665.636,-508.086,807.05,611.306,-569.002,702.892,634.136,-507.847,681.708,561.077,-520.795,641.102,709.899,-106.788,982.962,574.732,-105.446,950.965,537.38,-104.336,875.963
16,0,669.335,68.9079,973.531,715.481,210.914,922.177,754.11,311.475,890.114,810.921,275.991,831.565,678.553,336.014,780.678,636.013,369.844,673.842,644.515,299.222,655.018,574.106,314.016,614.029,658.661,-244.984,989.617,711.971,-402.953,946.172,765.092,-514.842,916.587,808.83,-497.505,852.034,665.638,-508.149,806.907,611.363,-569.08,702.732,634.187,-507.907,681.532,561.12,-520.913,640.925,709.894,-106.782,982.953,574.739,-105.428,950.924,537.392,-104.338,875.956
17,0,669.366,68.8816,973.498,715.511,210.905,922.138,754.071,311.497,890.044,810.868,275.975,831.46,678.467,336.024,780.647,635.925,369.825,673.818,644.374,299.142,655.017,573.971,313.974,613.994,658.659,-244.989,989.576,711.956,-402.968,946.087,765.071,-514.845,916.481,808.819,-497.511,851.948,665.628,-508.207,806.794,611.405,-569.14,702.57,634.277,-508.078,681.355,561.195,-520.974,640.748,709.898,-106.796,982.94,574.746,-105.449,950.888,537.394,-104.348,875.932
18,0,669.385,68.8745,973.482,715.493,210.913,922.071,754.044,311.499,889.966,810.823,275.978,831.371,678.403,336,780.599,636.078,369.759,673.974,644.244,299.052,655.056,573.82,313.992,614.05,658.665,-245.002,989.557,711.941,-402.985,946.02,765.054,-514.855,916.393,808.8,-497.502,851.877,665.604,-508.234,806.715,611.416,-569.163,702.45,634.257,-508.025,681.277,561.249,-521.044,640.62,709.901,-106.813,982.93,574.775,-105.432,950.851,537.413,-104.344,875.903
19,0,669.391,68.8818,973.482,715.503,210.896,922.026,754.034,311.486,889.914,810.794,275.973,831.279,678.335,335.978,780.607,635.633,369.714,673.803,644.1,298.988,655.128,573.597,313.823,614.102,658.648,-245.001,989.526,711.938,-402.979,945.953,765.029,-514.849,916.32,808.787,-497.502,851.819,665.617,-508.239,806.61,611.422,-569.177,702.372,634.328,-508.05,681.168,561.267,-521.063,640.491,709.898,-106.841,982.931,574.795,-105.436,950.823,537.411,-104.326,875.88
20,0,669.403,68.8682,973.485,715.544,210.873,922.013,754.022,311.478,889.847,810.747,275.965,831.182,678.26,335.948,780.577,635.469,369.672,673.78,643.924,298.88,655.149,573.229,313.406,614.14,658.65,-244.982,989.502,711.932,-402.984,945.915,765.016,-514.837,916.259,808.77,-497.488,851.744,665.596,-508.216,806.555,611.406,-569.165,702.312,634.324,-508.055,681.105,561.277,-521.05,640.408,709.909,-106.886,982.938,574.767,-105.423,950.813,537.402,-104.327,875.853
21,0,669.418,68.8581,973.49,715.509,210.869,921.966,754.03,311.46,889.814,810.728,275.955,831.12,678.209,335.901,780.553,635.348,369.594,673.785,643.821,298.901,655.12,572.882,312.947,614.185,658.659,-244.977,989.497,711.95,-402.978,945.865,765.005,-514.824,916.196,808.768,-497.477,851.684,665.592,-508.189,806.507,611.389,-569.138,702.273,634.328,-508.01,681.026,561.268,-520.984,640.341,709.888,-106.884,982.922,574.765,-105.419,950.784,537.391,-104.32,875.846
22,0,669.423,68.8223,973.478,715.5,210.876,921.95,754.017,311.441,889.781,810.72,275.911,831.091,678.135,335.864,780.588,635.242,369.537,673.809,644.12,299.496,654.726,572.722,312.868,614.268,658.65,-244.96,989.477,711.95,-402.971,945.832,765.018,-514.809,916.122,808.766,-497.457,851.62,665.576,-508.167,806.471,611.344,-569.08,702.233,634.261,-507.972,681.01,561.213,-520.924,640.32,709.885,-106.913,982.915,574.764,-105.41,950.771,537.376,-104.326,875.837
23,0,669.448,68.7943,973.487,715.497,210.834,921.938,754.013,311.406,889.773,810.692,275.885,831.051,678.08,335.797,780.598,635.115,369.472,673.844,644.018,299.4,654.756,572.576,312.776,614.365,658.663,-244.954,989.478,711.976,-402.954,945.803,765.048,-514.796,916.082,808.779,-497.436,851.565,665.567,-508.14,806.466,611.284,-569.022,702.231,634.228,-507.922,681.014,561.167,-520.883,640.363,709.875,-106.919,982.911,574.756,-105.42,950.772,537.362,-104.336,875.836
24,0,669.476,68.7805,973.501,715.544,210.775,921.944,754.015,311.392,889.776,810.69,275.887,831.025,678.011,335.737,780.64,635.014,369.419,673.901,643.903,299.327,654.814,572.447,312.66,614.444,658.675,-244.957,989.491,712.014,-402.947,945.788,765.087,-514.776,916.042,808.786,-497.395,851.506,665.542,-508.092,806.482,611.221,-568.974,702.27,634.129,-507.826,681.065,561.071,-520.757,640.373,709.847,-106.924,982.911,574.756,-105.43,950.792,537.356,-104.347,875.837
25,0,669.503,68.7544,973.522,715.565,210.764,921.999,754.025,311.361,889.793,810.724,275.814,831.057,677.976,335.658,780.655,634.919,369.322,673.961,643.825,299.248,654.896,572.347,312.544,614.531,658.7,-244.952,989.496,712.037,-402.944,945.803,765.126,-514.765,916.024,808.794,-497.371,851.461,665.555,-508.066,806.541,611.142,-568.903,702.322,634.09,-507.839,681.128,560.957,-520.692,640.472,709.865,-106.99,982.952,574.752,-105.437,950.807,537.337,-104.353,875.854
26,0,669.553,68.7191,973.56,715.6,210.728,922.046,754.01,311.343,889.823,810.626,275.862,831.046,677.906,335.602,780.743,634.758,369.213,674.004,643.434,298.664,655.365,572.224,312.44,614.634,658.734,-244.96,989.529,712.07,-402.933,945.806,765.148,-514.765,916.019,808.799,-497.373,851.439,665.521,-507.98,806.558,611.046,-568.83,702.373,634.043,-507.774,681.163,560.821,-520.562,640.569,709.83,-107,982.961,574.772,-105.462,950.845,537.327,-104.358,875.867
27,0,669.578,68.6956,973.562,715.566,210.722,922.052,754,311.341,889.843,810.654,275.84,831.072,677.842,335.608,780.809,634.609,369.162,674.051,643.288,298.623,655.391,572.109,312.337,614.724,658.756,-244.955,989.552,712.101,-402.934,945.818,765.168,-514.755,916.004,808.79,-497.37,851.413,665.49,-507.934,806.61,610.961,-568.745,702.438,633.92,-507.67,681.222,560.735,-520.468,640.686,709.814,-107.003,982.966,574.757,-105.457,950.861,537.337,-104.369,875.902
28,0,669.613,68.6781,973.572,715.634,210.694,922.108,753.982,311.349,889.866,810.616,275.88,831.059,677.796,335.546,780.831,634.468,369.089,674.098,643.537,299.022,655.142,571.997,312.237,614.809,658.785,-244.944,989.573,712.115,-402.929,945.828,765.181,-514.759,916.008,808.776,-497.364,851.394,665.468,-507.893,806.661,610.849,-568.646,702.496,633.834,-507.562,681.289,560.603,-520.328,640.756,709.812,-107.014,982.981,574.771,-105.451,950.892,537.334,-104.367,875.935
29,0,669.625,68.6561,973.579,715.62,210.682,922.144,753.958,311.331,889.888,810.626,275.882,831.073,677.742,335.519,780.897,634.385,369.033,674.165,643.429,298.98,655.241,571.9,312.143,614.905,658.81,-244.941,989.568,712.123,-402.921,945.828,765.185,-514.763,916.012,808.758,-497.369,851.388,665.429,-507.829,806.696,610.747,-568.538,702.55,633.779,-507.528,681.302,560.475,-520.213,640.849,709.803,-107.019,982.994,574.786,-105.474,950.921,537.351,-104.376,875.956
30,0,669.643,68.6345,973.591,715.606,210.679,922.161,753.948,311.336,889.911,810.591,275.892,831.059,677.698,335.484,780.933,634.261,368.988,674.218,643.079,298.446,655.641,571.814,312.062,614.979,658.842,-244.943,989.589,712.119,-402.921,945.854,765.176,-514.766,916.03,808.739,-497.386,851.398,665.386,-507.773,806.746,610.655,-568.438,702.61,633.704,-507.412,681.399,560.368,-520.113,640.922,709.808,-107.048,983.032,574.791,-105.476,950.926,537.358,-104.389,875.98
31,0,669.671,68.6176,973.62,715.607,210.658,922.179,753.939,311.32,889.946,810.545,275.905,831.082,677.662,335.448,781.015,634.144,368.932,674.283,642.984,298.418,655.718,571.724,311.98,615.06,658.864,-244.949,989.602,712.131,-402.93,945.877,765.155,-514.778,916.046,808.721,-497.408,851.414,665.339,-507.716,806.792,610.53,-568.339,702.662,633.676,-507.374,681.45,560.305,-519.991,640.981,709.775,-107.033,983.046,574.805,-105.493,950.932,537.355,-104.397,875.99
32,0,669.681,68.6021,973.635,715.636,210.64,922.209,753.917,311.308,889.961,810.568,275.866,831.116,677.611,335.432,781.061,634.029,368.879,674.334,643.192,298.834,655.448,571.631,311.962,615.149,658.871,-244.951,989.628,712.129,-402.927,945.909,765.142,-514.801,916.074,808.683,-497.434,851.429,665.297,-507.691,806.863,610.418,-568.255,702.734,633.637,-507.361,681.487,560.249,-519.86,641.043,709.786,-107.052,983.059,574.809,-105.519,950.944,537.37,-104.392,876.003
33,0,669.682,68.5845,973.661,715.557,210.652,922.213,753.895,311.301,889.983,810.524,275.889,831.105,677.567,335.418,781.126,634.028,368.861,674.436,643.119,298.817,655.53,571.547,311.938,615.239,658.874,-244.947,989.644,712.109,-402.917,945.93,765.111,-514.816,916.107,808.66,-497.464,851.458,665.257,-507.643,806.915,610.331,-568.176,702.825,633.591,-507.322,681.53,560.189,-519.729,641.056,709.767,-107.055,983.07,574.837,-105.521,950.948,537.368,-104.403,876.013
34,0,669.691,68.5724,973.665,715.576,210.649,922.23,753.877,311.294,889.994,810.497,275.899,831.134,677.523,335.411,781.157,633.956,368.869,674.48,643.06,298.827,655.537,571.473,311.924,615.305,658.864,-244.946,989.64,712.091,-402.923,945.932,765.075,-514.833,916.12,808.633,-497.478,851.458,665.218,-507.626,806.95,610.252,-568.136,702.873,633.604,-507.3,681.53,560.11,-519.682,641.097,709.757,-107.081,983.078,574.853,-105.523,950.922,537.37,-104.41,876
35,0,669.696,68.5597,973.658,715.587,210.608,922.253,753.851,311.3,890.015,810.5,275.882,831.134,677.482,335.386,781.171,633.91,368.857,674.517,643.005,298.834,655.561,571.414,311.936,615.351,658.861,-244.945,989.626,712.066,-402.935,945.949,765.044,-514.856,916.143,808.593,-497.504,851.477,665.177,-507.61,806.97,610.204,-568.11,702.883,633.566,-507.324,681.553,560.067,-519.663,641.15,709.762,-107.116,983.078,574.837,-105.541,950.899,537.376,-104.418,875.988
36,0,669.706,68.5397,973.651,715.51,210.623,922.254,753.816,311.306,890.027,810.464,275.888,831.135,677.432,335.388,781.192,633.863,368.837,674.554,642.949,298.84,655.588,571.364,311.93,615.367,658.851,-244.95,989.606,712.035,-402.949,945.947,764.994,-514.878,916.147,808.555,-497.532,851.49,665.129,-507.601,806.965,610.143,-568.114,702.886,633.505,-507.285,681.593,560.015,-519.63,641.148,709.726,-107.093,983.059,574.845,-105.569,950.885,537.366,-104.425,875.972
37,0,669.711,68.5286,973.636,715.527,210.614,922.276,753.799,311.298,890.032,810.436,275.928,831.142,677.398,335.384,781.198,633.846,368.859,674.582,642.931,298.852,655.603,571.33,311.92,615.339,658.828,-244.967,989.6,711.992,-402.96,945.937,764.946,-514.905,916.165,808.512,-497.582,851.504,665.093,-507.628,806.968,610.098,-568.14,702.902,633.48,-507.333,681.592,559.984,-519.649,641.148,709.719,-107.118,983.068,574.815,-105.591,950.876,537.365,-104.427,875.953
38,0,669.706,68.5219,973.622,715.477,210.634,922.279,753.751,311.297,890.039,810.436,275.908,831.145,677.368,335.402,781.203,633.797,368.875,674.574,642.904,298.877,655.592,571.307,311.928,615.348,658.823,-244.973,989.588,711.959,-402.978,945.926,764.9,-514.924,916.156,808.461,-497.604,851.497,665.034,-507.659,806.978,610.04,-568.166,702.891,633.474,-507.399,681.558,559.938,-519.7,641.137,709.692,-107.102,983.056,574.82,-105.609,950.875,537.368,-104.426,875.943
39,0,669.705,68.5213,973.601,715.466,210.619,922.276,753.704,311.308,890.026,810.362,275.963,831.134,677.321,335.429,781.188,633.751,368.884,674.575,642.862,298.916,655.571,571.315,311.958,615.308,658.799,-244.975,989.577,711.948,-402.987,945.893,764.857,-514.93,916.117,808.423,-497.631,851.48,664.975,-507.667,806.936,609.987,-568.211,702.9,633.458,-507.492,681.502,559.906,-519.722,641.091,709.663,-107.108,983.046,574.812,-105.62,950.834,537.35,-104.42,875.903
40,0,669.714,68.5141,973.591,715.423,210.637,922.257,753.663,311.319,890.023,810.331,275.997,831.121,677.304,335.43,781.156,633.764,368.953,674.589,642.874,298.928,655.557,571.316,311.981,615.256,658.79,-244.98,989.56,711.932,-402.993,945.871,764.823,-514.926,916.095,808.369,-497.634,851.422,664.935,-507.686,806.916,609.91,-568.255,702.897,633.423,-507.554,681.487,559.884,-519.805,641.058,709.65,-107.115,983.045,574.794,-105.608,950.818,537.338,-104.425,875.878
41,0,669.697,68.5108,973.572,715.408,210.63,922.255,753.632,311.324,890.005,810.34,275.985,831.125,677.285,335.462,781.156,633.721,368.908,674.552,642.873,298.942,655.513,571.324,312,615.214,658.781,-244.968,989.529,711.912,-402.984,945.847,764.791,-514.93,916.048,808.337,-497.651,851.381,664.888,-507.75,806.921,609.867,-568.315,702.882,633.472,-507.69,681.441,559.841,-519.864,640.99,709.63,-107.117,983.058,574.787,-105.6,950.779,537.334,-104.421,875.853
42,0,669.68,68.5082,973.556,715.349,210.652,922.253,753.598,311.336,890.003,810.293,276,831.132,677.261,335.455,781.124,633.687,368.916,674.522,642.878,298.953,655.499,571.35,312.001,615.161,658.785,-244.972,989.523,711.919,-402.993,945.82,764.78,-514.935,916.019,808.304,-497.652,851.334,664.85,-507.814,806.917,609.826,-568.396,702.88,633.411,-507.761,681.381,559.792,-519.98,640.968,709.616,-107.133,983.062,574.772,-105.631,950.771,537.329,-104.425,875.836
43,0,669.662,68.4937,973.569,715.324,210.628,922.272,753.571,311.326,890.008,810.295,275.958,831.162,677.243,335.435,781.123,633.698,368.906,674.53,642.866,298.977,655.442,571.372,311.988,615.103,658.782,-244.98,989.512,711.919,-402.995,945.794,764.767,-514.944,915.983,808.279,-497.678,851.298,664.799,-507.848,806.886,609.804,-568.503,702.902,633.51,-508.008,681.336,559.735,-520.088,640.945,709.587,-107.109,983.047,574.761,-105.665,950.759,537.328,-104.433,875.826
44,0,669.643,68.4973,973.564,715.326,210.62,922.266,753.54,311.33,890.018,810.3,275.962,831.185,677.224,335.427,781.117,633.664,368.934,674.532,642.884,298.977,655.468,571.382,312.013,615.087,658.792,-244.991,989.512,711.912,-403.021,945.782,764.758,-514.946,915.947,808.251,-497.68,851.246,664.773,-507.889,806.835,609.783,-568.6,702.902,633.411,-508.08,681.313,559.673,-520.19,640.939,709.577,-107.109,983.051,574.766,-105.688,950.708,537.311,-104.437,875.814
45,0,669.643,68.4885,973.565,715.308,210.612,922.287,753.536,311.322,890.044,810.279,275.982,831.206,677.199,335.425,781.135,633.629,368.95,674.575,642.883,298.987,655.51,571.395,312.046,615.081,658.79,-244.985,989.507,711.911,-403.024,945.757,764.756,-514.957,915.913,808.235,-497.703,851.221,664.768,-507.986,806.852,609.76,-568.678,702.891,633.452,-508.255,681.249,559.625,-520.314,640.959,709.573,-107.149,983.072,574.777,-105.716,950.687,537.302,-104.436,875.822
46,0,669.656,68.4743,973.563,715.326,210.61,922.3,753.509,311.331,890.074,810.273,275.982,831.212,677.17,335.438,781.178,633.638,368.978,674.618,642.834,299.035,655.531,571.388,312.06,615.099,658.805,-244.982,989.493,711.907,-403.028,945.719,764.748,-514.956,915.876,808.212,-497.7,851.173,664.735,-508.018,806.834,609.74,-568.763,702.879,633.425,-508.393,681.21,559.569,-520.442,640.943,709.557,-107.156,983.068,574.747,-105.707,950.623,537.286,-104.431,875.812
47,0,669.69,68.46,973.558,715.313,210.603,922.324,753.501,311.327,890.112,810.27,276.004,831.25,677.17,335.427,781.215,633.654,369.021,674.69,642.833,299.023,655.595,571.366,312.067,615.162,658.821,-244.967,989.49,711.913,-403.03,945.699,764.747,-514.951,915.855,808.186,-497.677,851.114,664.7,-508.07,806.832,609.727,-568.845,702.884,633.378,-508.455,681.171,559.521,-520.51,640.928,709.545,-107.153,983.072,574.743,-105.718,950.597,537.294,-104.433,875.817
48,0,669.732,68.4286,973.563,715.331,210.592,922.335,753.525,311.317,890.147,810.256,276.027,831.276,677.152,335.455,781.287,633.62,369.011,674.753,642.787,299.032,655.638,571.313,312.078,615.215,658.82,-244.949,989.495,711.922,-403.039,945.698,764.757,-514.943,915.827,808.189,-497.681,851.091,664.683,-508.118,806.81,609.689,-568.912,702.888,633.356,-508.524,681.164,559.485,-520.628,640.934,709.524,-107.143,983.058,574.722,-105.727,950.536,537.281,-104.442,875.832
49,0,669.763,68.4138,973.555,715.356,210.588,922.379,753.518,311.328,890.195,810.235,276.106,831.29,677.139,335.425,781.329,633.998,369.022,675.057,642.748,299.042,655.738,571.238,312.086,615.323,658.842,-244.948,989.514,711.943,-403.02,945.695,764.784,-514.939,915.815,808.188,-497.668,851.057,664.66,-508.139,806.837,609.655,-568.974,702.918,633.356,-508.609,681.155,559.46,-520.695,640.991,709.509,-107.115,983.041,574.715,-105.769,950.537,537.293,-104.446,875.832
50,0,669.823,68.3922,973.577,715.409,210.561,922.434,753.539,311.338,890.276,810.221,276.119,831.358,677.125,335.458,781.435,633.943,369.041,675.154,642.676,299.053,655.784,571.168,312.118,615.441,658.863,-244.926,989.551,711.975,-403.039,945.719,764.807,-514.938,915.797,808.178,-497.653,851.023,664.659,-508.177,806.861,609.634,-569.034,702.974,633.341,-508.677,681.187,559.386,-520.771,641.026,709.52,-107.125,983.037,574.752,-105.781,950.507,537.301,-104.453,875.863
