Trajectories
100
,,ValidationHealthy010:Rdeltoid,,,ValidationHealthy010:RMidArm,,,ValidationHealthy010:RElbRadial,,,ValidationHealthy010:RElbUlna,,,ValidationHealthy010:RMidForeArm,,,ValidationHealthy010:RWrist1,,,ValidationHealthy010:RWrist2,,,ValidationHealthy010:RFingerJoint,,,ValidationHealthy010:LDeltoid,,,ValidationHealthy010:LMidArm,,,ValidationHealthy010:LElbRadial,,,ValidationHealthy010:LElbUlna,,,ValidationHealthy010:LMidForearm,,,ValidationHealthy010:Lwrist1,,,ValidationHealthy010:LWrist2,,,ValidationHealthy010:LFingerJoint,,,ValidationHealthy010:C7,,,ValidationHealthy010:Neck,,,ValidationHealthy010:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,321.117,46.1666,1089.87,302.322,225.114,1057,284.638,324.013,1028.23,359.423,335.033,999.269,239.507,340.042,929.838,206.061,363.335,819.772,229.166,304.056,806.723,180.51,318.656,752.194,314.029,-186.54,1097.13,293.193,-371.621,1061.5,264.708,-449.509,1015.42,339.205,-464.399,985.571,223.674,-456.657,951.394,165.098,-476.857,828.133,191.284,-420.448,817.503,145.588,-425.313,745.465,342.606,-66.9641,1091.71,227.559,-60.4509,1076.98,168.975,-69.4465,974.355
2,0,321.124,46.1309,1089.85,302.339,225.133,1057.06,284.649,323.99,1028.28,359.451,335.009,999.314,239.519,340.054,929.891,206.062,363.355,819.826,229.162,304.047,806.807,180.495,318.681,752.257,314.044,-186.558,1097.09,293.267,-371.664,1061.43,264.781,-449.507,1015.31,339.271,-464.395,985.45,223.733,-456.647,951.296,165.15,-476.816,828.037,191.341,-420.418,817.418,145.626,-425.236,745.385,342.591,-66.9855,1091.69,227.537,-60.4753,1077.05,169.008,-69.4524,974.346
3,0,321.148,46.1064,1089.85,302.309,225.182,1057.16,284.648,324.011,1028.34,359.478,334.997,999.36,239.538,340.048,929.954,206.07,363.359,819.887,229.155,304.036,806.876,180.481,318.711,752.317,314.063,-186.591,1097.04,293.309,-371.678,1061.34,264.855,-449.518,1015.2,339.328,-464.386,985.337,223.811,-456.637,951.181,165.194,-476.778,827.926,191.381,-420.367,817.298,145.684,-425.176,745.291,342.584,-67.0109,1091.69,227.517,-60.5064,1077.1,168.985,-69.4839,974.338
4,0,321.158,46.0865,1089.86,302.335,225.146,1057.19,284.703,323.949,1028.38,359.513,334.958,999.416,239.544,340.04,930.012,206.065,363.366,819.948,229.133,304.054,806.916,180.478,318.743,752.374,314.079,-186.619,1096.99,293.36,-371.698,1061.22,264.914,-449.533,1015.07,339.391,-464.379,985.218,223.884,-456.642,951.057,165.243,-476.73,827.809,191.46,-420.341,817.193,145.736,-425.137,745.18,342.595,-67.0474,1091.69,227.519,-60.5721,1077.15,169.006,-69.4846,974.381
5,0,321.183,46.0422,1089.87,302.426,225.025,1057.14,284.715,323.954,1028.45,359.517,334.938,999.466,239.556,340.024,930.079,206.054,363.336,820.034,229.138,304.096,806.978,180.47,318.763,752.446,314.076,-186.664,1096.95,293.405,-371.712,1061.12,264.967,-449.526,1014.96,339.462,-464.38,985.093,223.941,-456.616,950.94,165.286,-476.703,827.695,191.496,-420.303,817.09,145.773,-425.08,745.082,342.583,-67.0651,1091.69,227.495,-60.5908,1077.24,168.83,-69.0041,974.46
6,0,321.194,45.9987,1089.89,302.412,225.044,1057.24,284.756,323.899,1028.52,359.521,334.89,999.52,239.565,340.007,930.171,206.048,363.333,820.137,229.143,304.159,807.039,180.46,318.787,752.533,314.083,-186.699,1096.94,293.409,-371.691,1060.96,265.012,-449.509,1014.83,339.529,-464.371,984.968,223.987,-456.622,950.817,165.319,-476.676,827.59,191.548,-420.262,816.988,145.831,-425.008,744.987,342.574,-67.0854,1091.71,227.486,-60.6357,1077.32,168.982,-69.5348,974.343
7,0,321.202,45.9449,1089.9,302.494,224.959,1057.21,284.81,323.85,1028.59,359.54,334.862,999.565,239.589,339.997,930.254,206.045,363.351,820.27,229.135,304.177,807.127,180.425,318.819,752.635,314.08,-186.744,1096.91,293.455,-371.749,1060.88,265.1,-449.558,1014.72,339.574,-464.379,984.856,224.04,-456.637,950.693,165.377,-476.64,827.457,191.607,-420.211,816.889,145.895,-424.951,744.88,342.554,-67.1048,1091.71,227.481,-60.6639,1077.4,168.958,-69.5278,974.36
8,0,321.214,45.8894,1089.92,302.5,224.976,1057.34,284.851,323.831,1028.66,359.583,334.811,999.621,239.612,339.994,930.348,206.025,363.354,820.388,229.117,304.222,807.195,180.4,318.845,752.716,314.078,-186.786,1096.86,293.537,-371.792,1060.76,265.16,-449.571,1014.56,339.615,-464.376,984.722,224.095,-456.638,950.557,165.436,-476.602,827.309,191.667,-420.172,816.761,145.923,-424.905,744.75,342.563,-67.1531,1091.73,227.464,-60.6962,1077.45,168.895,-69.6156,974.316
9,0,321.23,45.8299,1089.95,302.574,224.933,1057.35,284.878,323.848,1028.73,359.611,334.763,999.661,239.631,339.984,930.422,205.995,363.368,820.487,229.079,304.249,807.263,180.352,318.899,752.808,314.066,-186.827,1096.8,293.585,-371.82,1060.64,265.171,-449.579,1014.42,339.653,-464.372,984.575,224.137,-456.651,950.424,165.503,-476.6,827.145,191.717,-420.139,816.614,145.959,-424.83,744.638,342.546,-67.1873,1091.73,227.448,-60.7474,1077.51,168.937,-69.5831,974.294
10,0,321.25,45.7651,1089.97,302.602,224.934,1057.44,284.897,323.85,1028.8,359.643,334.703,999.698,239.644,339.97,930.498,205.991,363.339,820.544,229.037,304.255,807.344,180.283,318.94,752.923,314.06,-186.881,1096.75,293.624,-371.853,1060.53,265.207,-449.598,1014.28,339.705,-464.392,984.444,224.181,-456.669,950.277,165.555,-476.577,826.976,191.797,-420.128,816.472,146.008,-424.745,744.531,342.534,-67.225,1091.74,227.421,-60.785,1077.58,168.837,-69.5343,974.287
11,0,321.273,45.715,1089.99,302.707,224.883,1057.49,284.9,323.898,1028.88,359.687,334.682,999.739,239.661,339.949,930.582,205.984,363.35,820.635,229.017,304.328,807.389,180.22,318.972,753.046,314.038,-186.949,1096.69,293.631,-371.9,1060.42,265.193,-449.626,1014.11,339.751,-464.409,984.309,224.201,-456.674,950.116,165.617,-476.54,826.797,191.861,-420.094,816.331,145.484,-424.425,744.688,342.516,-67.2766,1091.73,227.411,-60.8589,1077.64,168.81,-69.3941,974.297
