Trajectories
100
,,ValidationHealthy003:Rdeltoid,,,ValidationHealthy003:RMidArm,,,ValidationHealthy003:RElbRadial,,,ValidationHealthy003:RElbUlna,,,ValidationHealthy003:RMidForeArm,,,ValidationHealthy003:RWrist1,,,ValidationHealthy003:RWrist2,,,ValidationHealthy003:RFingerJoint,,,ValidationHealthy003:LDeltoid,,,ValidationHealthy003:LMidArm,,,ValidationHealthy003:LElbRadial,,,ValidationHealthy003:LElbUlna,,,ValidationHealthy003:LMidForearm,,,ValidationHealthy003:Lwrist1,,,ValidationHealthy003:LWrist2,,,ValidationHealthy003:LFingerJoint,,,ValidationHealthy003:C7,,,ValidationHealthy003:Neck,,,ValidationHealthy003:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,520.589,79.324,1055.43,559.45,241.787,1053.46,575.19,349.642,1021.85,646.788,316.979,949.778,523.104,396.782,933.113,511.864,460.158,830.223,494.09,386.732,814.731,441.882,408.08,769.702,492.337,-166.935,1059.3,481.011,-346.275,1050.99,512.472,-446.545,1040.23,585.162,-441.078,980.14,445.571,-481.944,922.112,419.078,-507.342,821.46,450.394,-443.53,805.686,404.055,-409.825,762.408,579.268,-47.593,1074.28,426.814,-37.0684,1008.67,364.433,-36.3327,912.079
2,0,520.581,79.3126,1055.45,559.49,241.769,1053.45,575.213,349.639,1021.82,646.747,316.977,949.708,523.065,396.783,933.108,511.811,460.081,830.163,493.977,386.676,814.714,441.793,407.992,769.695,492.286,-166.964,1059.31,480.904,-346.354,1050.85,512.364,-446.601,1040.02,585.078,-441.082,979.972,445.479,-481.843,921.862,419.008,-507.145,821.186,450.341,-443.384,805.462,403.986,-409.583,762.215,579.26,-47.6399,1074.29,426.819,-37.0733,1008.65,364.395,-36.3839,912.097
3,0,520.617,79.2907,1055.48,559.527,241.769,1053.45,575.243,349.635,1021.8,646.749,316.952,949.678,523.062,396.736,933.079,511.75,460.028,830.127,493.908,386.598,814.717,441.728,407.915,769.69,492.211,-166.972,1059.32,480.793,-346.413,1050.72,512.277,-446.651,1039.85,585.005,-441.092,979.836,445.396,-481.753,921.637,418.962,-506.975,820.923,450.316,-443.229,805.281,403.911,-409.387,762.089,579.232,-47.6681,1074.3,426.824,-37.1017,1008.62,364.433,-36.4528,912.112
4,0,520.614,79.2716,1055.5,559.536,241.758,1053.48,575.252,349.639,1021.81,646.766,316.931,949.665,523.035,396.678,933.083,511.711,459.956,830.096,493.862,386.525,814.732,441.666,407.83,769.679,492.126,-167.008,1059.35,480.703,-346.466,1050.64,512.168,-446.688,1039.71,584.914,-441.098,979.718,445.329,-481.681,921.436,418.948,-506.842,820.69,450.308,-443.086,805.108,403.838,-409.179,761.969,579.167,-47.6582,1074.29,426.791,-37.089,1008.6,364.39,-36.4594,912.166
5,0,520.599,79.2692,1055.53,559.552,241.747,1053.5,575.236,349.611,1021.8,646.771,316.911,949.676,523.009,396.61,933.074,511.661,459.901,830.101,493.812,386.465,814.72,441.633,407.765,769.665,492.038,-167.035,1059.38,480.583,-346.506,1050.57,512.051,-446.709,1039.57,584.835,-441.091,979.611,445.27,-481.636,921.267,418.91,-506.696,820.492,450.241,-442.908,805.01,403.832,-408.959,761.857,579.153,-47.6734,1074.3,426.739,-37.0945,1008.6,364.395,-36.4888,912.177
6,0,520.578,79.2433,1055.55,559.549,241.745,1053.53,575.234,349.578,1021.83,646.749,316.909,949.682,522.978,396.558,933.107,511.63,459.842,830.112,493.822,386.421,814.72,441.631,407.696,769.671,491.947,-167.06,1059.41,480.486,-346.531,1050.51,511.968,-446.718,1039.45,584.771,-441.089,979.541,445.227,-481.586,921.123,418.864,-506.545,820.335,450.241,-442.803,804.877,403.837,-408.751,761.737,579.12,-47.6974,1074.31,426.663,-37.081,1008.59,364.344,-36.5104,912.216
7,0,520.534,79.2223,1055.55,559.518,241.715,1053.56,575.23,349.537,1021.86,646.748,316.89,949.752,522.994,396.481,933.096,511.636,459.795,830.137,493.825,386.367,814.734,441.636,407.662,769.693,491.838,-167.066,1059.47,480.4,-346.557,1050.47,511.88,-446.731,1039.36,584.714,-441.071,979.462,445.167,-481.543,921.018,418.789,-506.385,820.196,450.228,-442.628,804.795,403.831,-408.591,761.64,579.037,-47.6691,1074.29,426.556,-37.0746,1008.58,364.335,-36.5296,912.229
8,0,520.475,79.2038,1055.57,559.465,241.693,1053.57,575.205,349.522,1021.91,646.766,316.866,949.826,523.029,396.451,933.15,511.683,459.756,830.167,493.864,386.334,814.761,441.662,407.631,769.736,491.755,-167.078,1059.53,480.298,-346.556,1050.44,511.817,-446.761,1039.28,584.662,-441.041,979.403,445.117,-481.487,920.912,418.731,-506.247,820.049,450.226,-442.564,804.686,403.801,-408.434,761.569,578.961,-47.6447,1074.31,426.442,-37.037,1008.59,364.263,-36.5431,912.262
9,0,520.412,79.1699,1055.6,559.4,241.678,1053.62,575.189,349.498,1021.97,646.783,316.814,949.94,523.022,396.459,933.211,511.765,459.741,830.186,493.901,386.345,814.79,441.708,407.625,769.78,491.666,-167.09,1059.59,480.207,-346.588,1050.41,511.745,-446.791,1039.21,584.605,-441.017,979.339,445.079,-481.447,920.818,418.716,-506.15,819.908,450.217,-442.455,804.605,403.782,-408.31,761.504,578.897,-47.6172,1074.35,426.371,-37.0454,1008.57,364.203,-36.5702,912.274
