TD0919,0.12,1.17,1.36,2.44
TD0928,0.05,1.19,1.24,2.44
TD0931,0.15,1.52,1.59,4.15
TD0932,0.09,1.25,1.28,2.57
TD0934,0.1,1.1,1.31,2.31
