Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rdeltoid,,,RMidArm,,,RElbRadial,,,RElbUlna,,,RMidForeArm,,,RWrist1,,,RWrist2,,,RFingerJoint,,,LDeltoid,,,LMidArm,,,LElbRadial,,,LElbUlna,,,LMidForearm,,,Lwrist1,,,LWrist2,,,LFingerJoint,,,C7,,,Neck,,,MidSternum,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,700.692627,36.093418,834.525085,629.771851,102.141785,738.063965,570.052307,108.230522,601.610535,570.052307,108.230522,601.610535,451.657837,46.294003,599.765442,413.309326,22.609144,548.319519,414.319366,-5.207793,593.239136,357.196014,-44.951855,567.698975,734.339905,-179.677139,843.75592,709.292786,-329.304413,789.167908,681.799438,-423.883057,777.225586,639.114014,-413.572937,770.636047,703.96405,-428.806396,853.038818,674.671326,-461.648926,979.04303,697.357361,-419.753387,983.349976,732.183594,-444.453705,1026.043335,748.264648,-81.776634,852.202332,635.192322,-83.292267,828.290894,571.127319,-86.915573,750.256287
2,0,700.745728,35.948856,834.602173,629.780457,102.025093,738.148865,570.0354,108.121475,601.672424,570.0354,108.121475,601.672424,451.671417,46.157417,599.848572,413.327179,22.87273,548.230957,414.315277,-5.325723,593.315308,357.209137,-45.028435,567.757935,734.34198,-179.832932,843.719604,709.288086,-329.403046,789.064087,681.819214,-423.970367,777.129395,639.179382,-413.691681,770.495117,704.065674,-428.991852,852.877075,674.68158,-461.957458,978.837402,697.442932,-420.115265,983.20166,732.242004,-444.872314,1025.88147,748.29895,-81.919525,852.223877,635.204346,-83.398712,828.365295,571.141235,-86.992867,750.347412
3,0,700.773743,35.818256,834.656799,629.760437,101.9133,738.230347,570.000244,107.978386,601.745239,570.000244,107.978386,601.745239,451.658142,45.989105,599.937378,413.273163,22.383732,548.336365,414.312897,-5.542458,593.323303,357.175476,-45.251106,567.793701,734.33844,-179.969788,843.683533,709.33136,-329.505768,789.012695,681.881592,-424.065186,776.997192,639.287231,-413.821411,770.353821,704.173523,-429.161652,852.713623,674.721558,-462.261353,978.683472,697.53833,-420.404419,983.088257,732.552429,-444.982391,1025.825073,748.539612,-83.646416,852.327454,635.24292,-83.530235,828.402222,571.124939,-87.088326,750.420898
4,0,700.80603,35.707184,834.719116,629.747437,101.797478,738.315063,569.97113,107.875366,601.843933,569.97113,107.875366,601.843933,451.638214,45.829498,600.021667,413.222473,22.257961,548.340759,414.316589,-5.719624,593.335632,357.190979,-45.435764,567.804138,734.336609,-180.099762,843.653992,709.382263,-329.608032,788.976929,682.007874,-424.182892,776.90332,639.398132,-413.93634,770.239746,704.257935,-429.324463,852.615906,674.749207,-462.540863,978.558899,697.608459,-420.713257,982.993774,732.595825,-445.387787,1025.723633,748.596863,-83.793625,852.350647,635.289673,-83.671967,828.471802,571.068909,-87.146294,750.478455
5,0,700.801819,35.557186,834.769104,629.723206,101.674942,738.40509,569.943542,107.75621,601.924377,569.943542,107.75621,601.924377,451.628052,45.646088,600.111755,413.204193,22.133888,548.431274,414.299652,-5.859877,593.403076,357.174896,-45.507511,567.849609,734.337952,-180.235931,843.621887,709.455933,-329.722504,788.953247,682.167236,-424.311707,776.850708,639.512329,-414.073303,770.204651,704.337708,-429.481628,852.571167,674.77301,-462.805115,978.445984,697.700928,-421.02243,982.969971,732.615906,-445.777496,1025.680908,748.576721,-83.663216,852.375061,635.310303,-83.798157,828.522888,571.091858,-87.254356,750.552124
6,0,700.806458,35.420204,834.844482,629.700989,101.58168,738.501709,569.883728,107.63681,602.024414,569.883728,107.63681,602.024414,451.594177,45.471836,600.189087,413.347961,22.327621,548.898621,414.286865,-6.052623,593.427246,357.161835,-45.71167,567.875549,734.333435,-180.348282,843.592407,709.554749,-329.836761,788.950684,682.255005,-424.375671,776.832031,639.663574,-414.223602,770.123108,704.349487,-429.590485,852.604126,674.805847,-463.041199,978.392761,697.802917,-421.260925,982.940491,732.639221,-446.137085,1025.62854,748.553284,-83.646271,852.393372,635.355957,-83.927307,828.591492,571.11261,-87.342384,750.652588
7,0,700.781738,35.298931,834.896118,629.692627,101.464211,738.565918,569.842102,107.523552,602.105591,569.842102,107.523552,602.105591,451.574768,45.296055,600.269043,413.227875,22.033028,548.73645,414.284058,-6.150812,593.457336,357.154999,-45.847645,567.90033,734.35437,-180.457031,843.577393,709.662109,-329.935486,788.956665,682.407104,-424.48056,776.839905,639.826233,-414.345337,770.080261,704.412231,-429.697693,852.634888,674.856506,-463.259521,978.363586,697.889648,-421.502838,982.914185,732.692017,-446.478302,1025.645142,748.593384,-83.742928,852.403015,635.394653,-84.032532,828.65625,571.133362,-87.531425,750.654236
8,0,700.758301,35.184616,834.956848,629.658875,101.362541,738.646362,569.785339,107.431831,602.198669,569.785339,107.431831,602.198669,451.548035,45.140461,600.33905,413.277954,22.090225,548.941528,414.259857,-6.341577,593.459167,357.163208,-46.072006,567.925964,734.401367,-180.565887,843.540833,709.773071,-330.027985,788.978821,682.583313,-424.603271,776.840088,640.00415,-414.473724,770.044617,704.52063,-429.807831,852.647827,674.906799,-463.437805,978.339111,697.984497,-421.699341,982.881775,732.763306,-446.778198,1025.671387,748.624573,-83.993065,852.418213,635.436401,-84.165009,828.717896,571.116821,-87.553093,750.759399
