Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rdeltoid,,,RMidArm,,,RElbRadial,,,RElbUlna,,,RMidForeArm,,,RWrist1,,,RWrist2,,,RFingerJoint,,,LDeltoid,,,LMidArm,,,LElbRadial,,,LElbUlna,,,LMidForearm,,,Lwrist1,,,LWrist2,,,LFingerJoint,,,C7,,,Neck,,,MidSternum,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,575.138794,181.637924,1022.19043,570.956421,306.244263,903.931458,579.035095,368.615204,838.039551,,,,472.93515,359.216675,856.138977,360.058197,344.650146,837.238708,368.695618,278.5159,863.362976,300.924561,277.466156,800.792358,612.900208,-103.691109,979.763672,551.937134,-204.820251,837.346069,522.090088,-257.745148,749.956482,536.665833,-224.264542,681.923462,407.76181,-255.262695,700.613708,304.718567,-248.863068,625.444519,295.275452,-180.056503,638.50592,237.414398,-179.638443,590.820557,618.389709,49.121861,1036.764282,502.487305,41.266319,1021.172791,470.785278,12.418888,905.42572
2,0,575.091919,181.531433,1022.316223,570.882385,306.223511,904.173706,578.854675,368.786499,838.351013,,,,473.707367,357.519592,855.940796,359.981323,344.6539,837.611084,368.664886,278.442352,863.687561,300.854218,277.469391,801.15033,612.982971,-103.703781,979.753052,552.085388,-204.831436,837.299866,522.244812,-257.744598,749.914978,536.804993,-224.280914,681.944519,407.900818,-255.299805,700.630249,304.850677,-249.277908,625.872009,295.325134,-180.10939,638.57019,237.450729,-179.696762,590.923523,618.37616,49.075085,1036.785156,502.484985,41.185402,1021.166809,470.814575,12.357313,905.440063
3,0,575.069763,181.422211,1022.452332,570.802795,306.194611,904.429871,578.867615,368.653351,838.609192,,,,473.647247,357.522491,856.273193,361.092041,342.483276,837.365967,368.635223,278.328979,863.965576,300.790375,277.482239,801.516174,613.05188,-103.721458,979.729919,552.19397,-204.826889,837.245239,522.367432,-257.72699,749.846619,536.381592,-223.995346,681.395752,408.00473,-255.298645,700.604736,304.885742,-248.927231,625.473755,295.38974,-180.156906,638.611389,237.478195,-179.73288,591.002991,618.35498,49.046707,1036.799438,502.471863,41.160912,1021.133789,470.830933,12.293117,905.418274
4,0,575.017273,181.317001,1022.577148,570.690674,306.184479,904.660156,578.781494,368.679688,838.889587,,,,473.56778,357.545837,856.596619,361.045868,342.500214,837.761353,368.585693,278.288574,864.295593,300.687866,277.533234,801.878296,613.089417,-103.752914,979.7099,552.288452,-204.851471,837.230347,522.478088,-257.733673,749.804504,536.481995,-223.999252,681.354309,408.065918,-255.29361,700.597107,304.956665,-248.951233,625.494995,295.441467,-180.183578,638.627502,237.508514,-179.7603,591.082642,618.349304,48.995388,1036.820801,502.464722,41.136356,1021.109558,470.847504,12.230622,905.398865
5,0,575.018555,181.159668,1022.705688,570.651001,306.127777,904.899231,578.697876,368.695709,839.172241,,,,473.47052,357.635651,856.966553,359.791443,344.706848,838.79895,368.495209,278.325775,864.656372,300.629181,277.639435,802.251526,613.14093,-103.784004,979.696228,552.348145,-204.863373,837.174438,522.554016,-257.730713,749.73877,536.552368,-223.970047,681.328186,408.195923,-255.341263,700.591003,305.042816,-249.304886,625.87915,295.506287,-180.198822,638.667542,237.533356,-179.768143,591.129883,618.328247,48.940586,1036.820435,502.469971,41.055981,1021.065369,470.858612,12.151942,905.379028
6,0,574.950195,181.070145,1022.815491,570.573181,306.098999,905.108459,578.631714,368.724243,839.44928,,,,473.419464,357.62558,857.290161,359.728638,344.737244,839.188416,368.447327,278.268372,864.947632,300.535492,277.757813,802.606384,613.17627,-103.819061,979.657837,552.393311,-204.897934,837.134216,522.604797,-257.744324,749.678894,536.604675,-223.954483,681.290588,408.23233,-255.336945,700.557556,305.025879,-248.956421,625.490662,295.530212,-180.202484,638.675659,237.554871,-179.763824,591.151367,618.290588,48.902103,1036.820923,502.45578,40.984982,1021.017883,470.865845,12.089176,905.338501
7,0,574.935425,180.939804,1022.930237,570.497681,306.058777,905.316345,578.570374,368.733398,839.710266,,,,473.3974,357.620453,857.639404,359.66275,344.810577,839.580872,368.364807,278.251678,865.223877,300.43927,277.881866,802.971741,613.197144,-103.874046,979.628235,552.411194,-204.932648,837.079529,522.641052,-257.776093,749.623901,536.63916,-223.939529,681.246704,408.237732,-255.362396,700.529541,305.03717,-248.958359,625.495789,295.462708,-180.043091,638.403931,237.559326,-179.762939,591.169983,618.264465,48.851841,1036.82666,502.456787,40.878628,1020.985718,470.883301,11.991115,905.340698
8,0,574.88678,180.837173,1023.019531,570.420898,306.054169,905.507202,578.493103,368.771851,839.924194,,,,473.330231,357.657166,857.913879,359.610107,344.879303,839.940674,368.275543,278.25885,865.492676,300.320709,278.020782,803.299866,613.19397,-103.913971,979.593506,552.430298,-204.991684,837.042725,522.660217,-257.808716,749.565552,536.662292,-223.923004,681.192749,408.227478,-255.388168,700.489868,305.038391,-248.96022,625.49469,295.43042,-180.072876,638.471069,237.567169,-179.750244,591.176331,618.23938,48.773945,1036.836792,502.452911,40.787136,1020.969299,470.866058,11.91913,905.335938
