Trajectories
100
,,ValidationHealthy009:Rdeltoid,,,ValidationHealthy009:RMidArm,,,ValidationHealthy009:RElbRadial,,,ValidationHealthy009:RElbUlna,,,ValidationHealthy009:RMidForeArm,,,ValidationHealthy009:RWrist1,,,ValidationHealthy009:RWrist2,,,ValidationHealthy009:RFingerJoint,,,ValidationHealthy009:LDeltoid,,,ValidationHealthy009:LMidArm,,,ValidationHealthy009:LElbRadial,,,ValidationHealthy009:LElbUlna,,,ValidationHealthy009:LMidForearm,,,ValidationHealthy009:Lwrist1,,,ValidationHealthy009:LWrist2,,,ValidationHealthy009:LFingerJoint,,,ValidationHealthy009:C7,,,ValidationHealthy009:Neck,,,ValidationHealthy009:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,463.144,157.618,1101.21,477.324,344.448,1066.82,408.811,453.308,1013.63,463.252,454.252,1049.72,426.763,461.999,1170.02,367.842,471.68,1278.67,354.054,413.275,1262.16,385.904,409.47,1336.83,487.424,-99.1442,1102.97,521.9,-294.307,1077.7,480.84,-406.948,1022.25,525.089,-385.252,1075.17,461.498,-416.356,1181.17,396.756,-428.154,1262.73,383.715,-374.828,1259.37,401.615,-368.473,1329.38,541.06,17.4165,1097.67,393.62,35.3361,1100.82,342.283,21.2662,1007.25
2,0,463.094,157.622,1101.2,477.259,344.468,1066.86,408.776,453.305,1013.64,463.231,454.243,1049.73,426.78,461.994,1170.04,367.868,471.68,1278.7,354.074,413.284,1262.2,385.942,409.454,1336.85,487.379,-99.1222,1102.99,521.821,-294.301,1077.75,480.736,-406.937,1022.31,525.007,-385.236,1075.21,461.472,-416.323,1181.24,396.784,-428.115,1262.84,383.733,-374.756,1259.49,401.68,-368.422,1329.48,541.012,17.4388,1097.67,393.574,35.3475,1100.83,342.23,21.2833,1007.27
3,0,463.074,157.62,1101.22,477.21,344.495,1066.88,408.744,453.306,1013.64,463.206,454.267,1049.73,426.775,461.993,1170.07,367.905,471.654,1278.74,354.102,413.278,1262.23,385.992,409.505,1336.88,487.332,-99.0975,1103,521.755,-294.305,1077.79,480.631,-406.928,1022.38,524.928,-385.222,1075.25,461.438,-416.288,1181.32,396.783,-428.072,1262.96,383.782,-374.711,1259.63,401.788,-368.408,1329.61,541.006,17.4397,1097.69,393.524,35.3609,1100.88,342.175,21.2865,1007.3
4,0,463.045,157.63,1101.23,477.176,344.493,1066.9,408.718,453.324,1013.67,463.188,454.297,1049.74,426.767,462.019,1170.08,367.948,471.656,1278.76,354.138,413.279,1262.26,386.03,409.536,1336.92,487.276,-99.0829,1103.03,521.681,-294.302,1077.83,480.541,-406.926,1022.47,524.86,-385.209,1075.31,461.421,-416.262,1181.41,396.782,-428.019,1263.05,383.828,-374.662,1259.77,401.9,-368.415,1329.73,540.966,17.449,1097.71,393.492,35.4094,1100.92,342.118,21.3168,1007.33
5,0,463.009,157.65,1101.25,477.163,344.515,1066.88,408.69,453.344,1013.69,463.176,454.292,1049.73,426.817,461.995,1170.06,367.993,471.685,1278.78,354.178,413.305,1262.29,386.082,409.543,1336.95,487.211,-99.0709,1103.07,521.607,-294.282,1077.85,480.457,-406.896,1022.54,524.601,-384.876,1075.02,461.376,-416.206,1181.48,396.772,-427.992,1263.15,383.888,-374.626,1259.89,401.962,-368.397,1329.82,540.938,17.4491,1097.72,393.45,35.4312,1100.95,342.061,21.3268,1007.36
6,0,462.979,157.677,1101.26,477.001,345.225,1066.43,408.666,453.39,1013.7,463.183,454.301,1049.72,426.846,461.99,1170.04,368.045,471.707,1278.79,354.218,413.312,1262.32,386.143,409.559,1337,487.166,-99.0523,1103.11,521.56,-294.269,1077.86,480.363,-406.882,1022.6,524.522,-384.834,1075.06,461.36,-416.182,1181.56,396.774,-427.957,1263.23,383.899,-374.582,1259.98,401.996,-368.364,1329.89,540.892,17.4682,1097.74,393.404,35.479,1100.97,342.001,21.3425,1007.39
7,0,462.978,157.651,1101.22,476.985,345.25,1066.4,408.642,453.387,1013.7,463.176,454.308,1049.69,426.898,462.01,1170.03,368.082,471.746,1278.79,354.259,413.342,1262.32,386.183,409.615,1337.02,487.106,-99.0382,1103.14,521.514,-294.255,1077.87,480.277,-406.858,1022.66,524.45,-384.801,1075.1,461.31,-416.142,1181.59,396.769,-427.917,1263.33,383.936,-374.563,1260.07,402.002,-368.324,1329.94,540.833,17.4999,1097.74,393.383,35.5441,1101,341.946,21.3831,1007.4
8,0,462.958,157.68,1101.23,476.99,345.257,1066.36,408.618,453.403,1013.69,463.184,454.316,1049.67,426.926,462.013,1170.03,368.128,471.794,1278.79,354.286,413.369,1262.34,386.23,409.683,1337.04,487.048,-99.0203,1103.17,521.463,-294.216,1077.87,480.198,-406.831,1022.72,524.389,-384.768,1075.12,461.281,-416.12,1181.64,396.74,-427.858,1263.4,383.915,-374.544,1260.14,401.974,-368.28,1330,540.794,17.5137,1097.74,393.361,35.5562,1101.02,341.895,21.4057,1007.4
9,0,462.927,157.691,1101.23,477.003,345.235,1066.33,408.598,453.4,1013.69,463.182,454.324,1049.65,426.933,462.056,1170.03,368.143,471.85,1278.79,354.322,413.407,1262.36,386.288,409.687,1337.07,487.005,-99.0007,1103.18,521.43,-294.207,1077.89,480.119,-406.816,1022.77,524.321,-384.737,1075.16,461.246,-416.115,1181.69,396.741,-427.823,1263.49,383.887,-374.516,1260.2,401.795,-368.375,1329.99,540.762,17.5165,1097.75,393.353,35.5854,1101.02,341.841,21.4398,1007.42
