Trajectories
100
,,ValidationHealthy016:Rdeltoid,,,ValidationHealthy016:RMidArm,,,ValidationHealthy016:RElbRadial,,,ValidationHealthy016:RElbUlna,,,ValidationHealthy016:RMidForeArm,,,ValidationHealthy016:RWrist1,,,ValidationHealthy016:RWrist2,,,ValidationHealthy016:RFingerJoint,,,ValidationHealthy016:LDeltoid,,,ValidationHealthy016:LMidArm,,,ValidationHealthy016:LElbRadial,,,ValidationHealthy016:LElbUlna,,,ValidationHealthy016:LMidForearm,,,ValidationHealthy016:Lwrist1,,,ValidationHealthy016:LWrist2,,,ValidationHealthy016:LFingerJoint,,,ValidationHealthy016:C7,,,ValidationHealthy016:Neck,,,ValidationHealthy016:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,679.04,189.685,1123.71,739.981,360.973,1044.62,665.513,523.606,1005.57,756.449,495.263,1027.98,727.365,542.9,1191.72,674.313,561.832,1310.94,655.525,485.423,1302.3,680.115,487.147,1388.32,690.793,-81.8247,1116.71,758.95,-246.598,1029.51,705.857,-412.918,951.351,780.136,-380.519,976.946,757.928,-402.337,1129.88,699.097,-458.07,1253.38,667.178,-384.887,1239.35,677.955,-371.874,1334.3,732.626,41.8231,1104.73,548.616,44.0047,1089.96,508.152,41.7331,1033.36
2,0,678.985,189.691,1123.73,739.895,360.964,1044.62,665.355,523.58,1005.54,756.302,495.289,1027.93,727.166,542.921,1191.68,674.081,561.815,1310.89,655.312,485.422,1302.25,680.239,486.191,1388.54,690.745,-81.8258,1116.71,758.928,-246.609,1029.61,705.872,-412.949,951.478,780.134,-380.553,977.089,757.869,-402.28,1130.01,699.024,-458.006,1253.54,667.101,-384.804,1239.48,677.898,-371.777,1334.42,732.579,41.8138,1104.74,548.58,43.9742,1089.94,508.139,41.7303,1033.35
3,0,678.935,190.544,1124.33,739.802,360.972,1044.56,665.188,523.62,1005.5,756.147,495.31,1027.87,726.955,542.944,1191.62,675.338,560.085,1310.42,655.12,485.417,1302.18,680.004,486.234,1388.47,690.696,-81.8147,1116.73,758.901,-246.627,1029.7,705.889,-412.956,951.6,780.13,-380.607,977.253,757.824,-402.239,1130.16,698.947,-457.928,1253.7,667.055,-384.744,1239.63,677.852,-371.678,1334.55,732.53,41.8171,1104.75,548.54,43.9642,1089.97,508.106,41.7243,1033.33
4,0,678.815,189.763,1123.72,739.72,360.974,1044.52,665.025,523.599,1005.42,756.013,495.332,1027.82,726.774,542.975,1191.55,675.108,560.106,1310.33,654.938,485.424,1302.1,679.786,486.28,1388.42,690.655,-81.8078,1116.75,758.882,-246.655,1029.79,705.896,-412.97,951.739,780.112,-380.635,977.417,757.786,-402.197,1130.31,698.896,-457.852,1253.88,667.01,-384.661,1239.76,677.821,-371.583,1334.69,732.477,41.8445,1104.74,548.527,43.9451,1089.99,508.066,41.7145,1033.3
5,0,683.049,182.994,1121.11,739.616,360.989,1044.46,664.867,523.581,1005.34,755.858,495.371,1027.74,726.582,542.994,1191.47,674.789,560.197,1310.25,655.027,484.665,1302.09,679.563,486.344,1388.31,690.615,-81.7726,1116.77,758.838,-246.633,1029.85,705.539,-413.472,952.554,780.079,-380.645,977.553,757.741,-402.158,1130.45,698.843,-457.769,1254.04,666.992,-384.604,1239.9,677.794,-371.482,1334.82,732.431,41.854,1104.76,548.487,43.9331,1089.96,508.009,41.6745,1033.27
6,0,678.64,190.601,1124.23,739.517,361.022,1044.39,664.704,523.562,1005.22,755.693,495.422,1027.65,726.396,543.033,1191.38,674.476,560.289,1310.16,654.821,484.695,1301.99,679.326,486.333,1388.23,690.572,-81.7392,1116.79,758.811,-246.632,1029.94,705.501,-413.479,952.745,780.059,-380.668,977.693,757.694,-402.117,1130.59,698.778,-457.679,1254.2,666.973,-384.518,1240.05,677.76,-371.366,1334.95,732.382,41.8926,1104.77,548.414,43.9629,1089.91,507.974,41.6957,1033.24
7,0,682.869,183.063,1121.1,739.417,361.043,1044.34,664.604,523.563,1005.13,755.53,495.475,1027.56,726.209,543.086,1191.28,674.286,560.3,1310.03,654.329,485.423,1301.79,679.089,486.386,1388.13,690.507,-81.6909,1116.8,758.756,-246.624,1030.02,705.49,-413.46,952.832,780.032,-380.692,977.835,757.646,-402.046,1130.71,698.708,-457.594,1254.35,666.943,-384.444,1240.2,677.733,-371.263,1335.09,732.332,41.9058,1104.79,548.384,43.9691,1089.9,507.94,41.7097,1033.21
8,0,678.471,190.621,1124.17,739.35,361.037,1044.3,664.43,523.542,1005,755.411,495.518,1027.46,726.013,543.148,1191.17,674.108,560.33,1309.9,654.126,485.454,1301.68,678.85,486.425,1388.03,690.471,-81.6581,1116.85,758.727,-246.595,1030.09,705.465,-413.442,952.973,780.001,-380.693,977.962,757.432,-402.08,1130.66,698.656,-457.52,1254.5,666.861,-384.339,1240.3,677.679,-371.157,1335.21,732.284,41.9565,1104.8,548.366,44.0069,1089.88,507.899,41.7103,1033.17
9,0,682.71,183.154,1121.06,739.245,361.098,1044.23,664.337,523.543,1004.86,755.26,495.562,1027.36,725.835,543.199,1191.05,673.898,560.392,1309.77,653.942,485.475,1301.57,678.623,486.504,1387.94,690.443,-81.6197,1116.88,758.688,-246.572,1030.15,705.454,-413.466,953.082,779.958,-380.697,978.084,757.5,-401.974,1130.89,698.601,-457.438,1254.64,666.805,-384.283,1240.44,677.625,-371.031,1335.32,732.235,41.9675,1104.82,548.333,44.0394,1089.83,507.862,41.7064,1033.15
