Trajectories
100
,,ValidationHealthy010:Rdeltoid,,,ValidationHealthy010:RMidArm,,,ValidationHealthy010:RElbRadial,,,ValidationHealthy010:RElbUlna,,,ValidationHealthy010:RMidForeArm,,,ValidationHealthy010:RWrist1,,,ValidationHealthy010:RWrist2,,,ValidationHealthy010:RFingerJoint,,,ValidationHealthy010:LDeltoid,,,ValidationHealthy010:LMidArm,,,ValidationHealthy010:LElbRadial,,,ValidationHealthy010:LElbUlna,,,ValidationHealthy010:LMidForearm,,,ValidationHealthy010:Lwrist1,,,ValidationHealthy010:LWrist2,,,ValidationHealthy010:LFingerJoint,,,ValidationHealthy010:C7,,,ValidationHealthy010:Neck,,,ValidationHealthy010:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,366.031,35.1232,1087.9,377.671,220.669,1041.95,313.059,329.812,996.5,380.467,318.33,1044.57,333.071,323.787,1136.5,263.255,332.516,1231.63,250.918,274.42,1217.65,271.955,283.026,1289.12,348.102,-188.811,1094.83,340.371,-375.478,1048.59,264.741,-471.708,1000.47,321.402,-456.562,1065.12,284.523,-466.274,1125.17,191.632,-492.629,1230.54,188.414,-433.58,1222.93,200.592,-429.833,1295.03,376.812,-73.7208,1087.32,259.372,-69.2461,1081.17,200.668,-69.0809,977.905
2,0,365.964,35.1321,1087.89,377.566,220.643,1041.9,312.921,329.814,996.418,380.329,318.326,1044.5,332.883,323.806,1136.39,262.99,332.519,1231.48,250.238,273.672,1217.51,271.702,283.016,1288.99,348.095,-188.843,1094.86,340.555,-375.825,1048.98,264.815,-471.716,1000.42,321.421,-456.54,1065.17,284.528,-466.3,1125.17,191.592,-492.653,1230.5,188.366,-433.602,1222.85,200.573,-430.254,1295.17,376.79,-73.7389,1087.34,259.331,-69.2581,1081.2,200.653,-69.1083,977.889
3,0,365.92,35.1189,1087.87,377.455,220.666,1041.84,312.791,329.776,996.312,380.188,318.325,1044.43,332.679,323.792,1136.3,262.753,332.491,1231.36,250.454,274.388,1217.4,271.432,283.016,1288.87,348.094,-188.852,1094.87,340.793,-376.167,1049.46,264.901,-471.712,1000.37,319.688,-454.776,1064.69,284.525,-466.293,1125.15,191.548,-492.659,1230.44,188.3,-433.605,1222.77,200.442,-429.919,1294.96,376.76,-73.7333,1087.33,259.305,-69.3216,1081.2,200.637,-69.1094,977.856
4,0,365.853,35.1174,1087.86,377.342,220.665,1041.8,312.673,329.742,996.218,380.038,318.316,1044.38,332.666,323.958,1136.49,262.487,332.499,1231.23,250.232,274.356,1217.27,271.163,283.036,1288.74,348.088,-188.849,1094.86,340.84,-376.192,1049.5,264.961,-471.717,1000.31,321.403,-456.473,1065.24,284.536,-466.301,1125.14,191.522,-492.675,1230.4,188.234,-433.623,1222.71,200.181,-430.001,1294.74,376.732,-73.7301,1087.34,259.271,-69.3639,1081.19,200.567,-69.0879,977.825
5,0,365.806,35.1307,1087.89,377.214,220.703,1041.79,312.525,329.704,996.11,379.888,318.325,1044.34,332.271,323.784,1136.16,262.226,332.491,1231.12,249.988,274.338,1217.15,270.921,283.024,1288.64,348.051,-188.872,1094.86,340.84,-376.191,1049.49,265.046,-471.687,1000.25,319.738,-454.778,1064.72,284.513,-466.286,1125.14,191.476,-492.697,1230.37,188.174,-433.632,1222.64,200.1,-429.946,1294.68,376.688,-73.7274,1087.34,259.236,-69.3911,1081.16,200.564,-69.1144,977.797
6,0,365.734,35.1283,1087.9,377.085,220.691,1041.75,312.378,329.676,996.034,379.723,318.352,1044.29,332.059,323.807,1136.09,261.95,332.469,1231.01,249.425,273.758,1217.12,270.677,282.994,1288.53,348.014,-188.889,1094.86,340.654,-375.836,1049.06,265.11,-471.695,1000.24,321.233,-456.288,1065.22,284.475,-466.262,1125.14,191.431,-492.702,1230.36,188.116,-433.649,1222.58,200.021,-429.889,1294.61,376.647,-73.7241,1087.35,259.192,-69.4284,1081.13,200.551,-69.136,977.745
7,0,365.673,35.1166,1087.91,376.953,220.722,1041.76,312.239,329.617,995.955,379.565,318.371,1044.27,332.007,323.889,1136.26,261.717,332.451,1230.92,249.215,273.779,1217.03,270.39,282.972,1288.43,347.975,-188.898,1094.85,340.808,-376.16,1049.42,265.174,-471.689,1000.21,321.091,-456.144,1065.26,284.479,-466.278,1125.16,191.416,-492.733,1230.36,188.063,-433.665,1222.53,199.96,-429.821,1294.53,376.602,-73.7105,1087.35,259.151,-69.4472,1081.1,200.545,-69.1319,977.711
8,0,365.643,35.0956,1087.94,376.822,220.748,1041.76,312.103,329.533,995.901,379.379,318.382,1044.25,331.815,323.888,1136.21,261.49,332.418,1230.86,249.013,273.794,1216.94,270.153,282.966,1288.35,347.934,-188.911,1094.84,340.813,-376.193,1049.42,265.254,-471.66,1000.16,319.768,-454.815,1064.84,284.465,-466.269,1125.16,191.386,-492.75,1230.34,188.023,-433.688,1222.47,199.942,-429.78,1294.44,376.565,-73.7029,1087.36,259.124,-69.4805,1081.04,200.516,-69.131,977.683
9,0,365.613,35.0787,1087.97,376.679,220.79,1041.75,311.956,329.543,995.872,379.033,318.299,1044.12,331.614,323.862,1136.19,261.248,332.397,1230.8,249.077,274.264,1216.83,269.913,282.942,1288.29,347.904,-188.899,1094.83,340.846,-376.179,1049.42,265.301,-471.687,1000.15,320.594,-455.632,1065.2,284.44,-466.241,1125.16,191.354,-492.761,1230.33,187.994,-433.708,1222.41,199.92,-429.72,1294.35,376.514,-73.6909,1087.36,259.081,-69.467,1081,200.488,-69.0806,977.645
10,0,365.558,35.0989,1087.97,376.538,220.811,1041.75,311.817,329.505,995.844,378.857,318.338,1044.11,331.256,323.802,1135.92,261.037,332.376,1230.77,248.853,274.249,1216.78,269.655,282.94,1288.23,347.887,-188.887,1094.82,340.841,-376.176,1049.39,265.339,-471.644,1000.08,319.768,-454.78,1064.85,284.417,-466.204,1125.14,191.333,-492.763,1230.31,187.969,-433.734,1222.34,199.916,-429.656,1294.26,376.484,-73.6753,1087.36,259.024,-69.4761,1080.93,200.447,-69.0366,977.632
11,0,365.499,35.1159,1087.97,376.434,220.794,1041.78,311.664,329.48,995.821,378.851,318.428,1044.21,331.171,323.908,1136.07,260.813,332.337,1230.72,248.667,274.202,1216.73,269.43,282.907,1288.17,347.87,-188.874,1094.8,340.85,-376.157,1049.35,265.374,-471.617,1000.03,319.77,-454.761,1064.81,284.4,-466.172,1125.11,191.319,-492.782,1230.28,187.945,-433.729,1222.27,199.939,-429.608,1294.16,376.425,-73.63,1087.36,258.969,-69.4771,1080.88,200.45,-69.0493,977.574
