Trajectories
100
,,ValidationHealthy013:Rdeltoid,,,ValidationHealthy013:RMidArm,,,ValidationHealthy013:RElbRadial,,,ValidationHealthy013:RElbUlna,,,ValidationHealthy013:RMidForeArm,,,ValidationHealthy013:RWrist1,,,ValidationHealthy013:RWrist2,,,ValidationHealthy013:RFingerJoint,,,ValidationHealthy013:LDeltoid,,,ValidationHealthy013:LMidArm,,,ValidationHealthy013:LElbRadial,,,ValidationHealthy013:LElbUlna,,,ValidationHealthy013:LMidForearm,,,ValidationHealthy013:Lwrist1,,,ValidationHealthy013:LWrist2,,,ValidationHealthy013:LFingerJoint,,,ValidationHealthy013:C7,,,ValidationHealthy013:Neck,,,ValidationHealthy013:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,537.447,93.4049,1031.27,555.927,282.813,975.702,490.937,382.209,916.648,554.578,372.523,956.99,535.411,342.087,1055.16,499.684,319.936,1174.68,455.495,280.633,1151.9,497.992,255.467,1228.98,545.716,-194.443,1030.64,537.572,-357.688,993.538,461.161,-480.61,937.49,527.168,-476.132,972.126,501.874,-437.46,1075.23,427.636,-428.078,1192.09,445.331,-370.3,1164.14,456.391,-339.423,1238.31,596.877,-41.8177,1023.88,453.11,-37.1192,1034.69,424.862,-81.3399,950
2,0,537.435,93.4138,1031.27,555.892,282.817,975.7,490.905,382.198,916.631,554.539,372.521,957.005,535.345,342.09,1055.17,499.599,319.938,1174.68,455.423,280.609,1151.9,497.893,255.464,1228.98,545.724,-194.436,1030.63,537.586,-357.692,993.526,461.163,-480.615,937.503,527.162,-476.123,972.117,501.88,-437.415,1075.21,427.659,-427.986,1192.08,445.362,-370.22,1164.1,456.445,-339.339,1238.28,596.861,-41.7998,1023.87,453.128,-37.1515,1034.69,424.865,-81.3586,949.993
3,0,537.419,93.4158,1031.27,555.856,282.822,975.7,490.862,382.191,916.598,554.489,372.541,956.995,535.281,342.1,1055.16,499.502,319.939,1174.66,455.333,280.595,1151.88,497.797,255.465,1228.97,545.73,-194.425,1030.63,537.594,-357.707,993.531,461.154,-480.625,937.513,527.162,-476.11,972.113,501.894,-437.379,1075.19,427.674,-427.901,1192.07,445.386,-370.141,1164.08,456.482,-339.241,1238.23,596.846,-41.7831,1023.88,453.117,-37.1555,1034.69,424.901,-81.347,950.011
4,0,537.393,93.4242,1031.27,555.808,282.781,975.336,490.826,382.221,916.6,554.444,372.548,956.999,535.22,342.091,1055.16,499.429,319.933,1174.65,455.269,280.601,1151.85,497.708,255.452,1228.96,545.732,-194.431,1030.63,537.592,-357.681,993.516,461.142,-480.623,937.513,527.153,-476.114,972.111,501.901,-437.339,1075.17,427.684,-427.808,1192.06,445.423,-370.072,1164.07,456.526,-339.152,1238.2,596.835,-41.777,1023.89,453.101,-37.1713,1034.68,424.863,-81.3549,949.998
5,0,537.379,93.4376,1031.26,555.778,282.854,975.701,490.8,382.225,916.586,554.43,372.558,957.013,535.16,342.096,1055.15,499.333,319.926,1174.64,455.199,280.6,1151.81,497.615,255.458,1228.95,545.732,-194.411,1030.63,537.576,-357.688,993.521,461.132,-480.6,937.512,527.149,-476.114,972.116,501.902,-437.284,1075.15,427.694,-427.714,1192.04,445.463,-370.024,1164.02,456.542,-339.048,1238.16,596.804,-41.7479,1023.88,453.1,-37.1576,1034.67,424.847,-81.3504,949.978
6,0,537.353,93.4443,1031.26,555.756,282.836,975.714,490.787,382.243,916.576,554.366,372.568,957.019,535.102,342.109,1055.14,499.263,319.934,1174.63,455.11,280.612,1151.78,497.529,255.451,1228.94,545.721,-194.39,1030.61,537.579,-357.684,993.534,461.114,-480.599,937.521,527.145,-476.116,972.125,501.903,-437.237,1075.14,427.711,-427.64,1192.04,445.494,-369.978,1164,456.549,-338.95,1238.12,596.783,-41.7277,1023.89,453.098,-37.1423,1034.64,424.858,-81.3487,949.963
7,0,537.336,93.4445,1031.26,555.731,282.788,975.4,490.783,382.217,916.556,554.38,372.551,957.008,535.049,342.101,1055.14,499.186,319.967,1174.6,455.058,280.618,1151.75,497.443,255.465,1228.93,545.709,-194.364,1030.6,537.558,-357.679,993.538,461.112,-480.583,937.521,527.137,-476.103,972.133,501.904,-437.183,1075.13,427.728,-427.575,1192.04,445.546,-369.958,1163.98,456.56,-338.859,1238.11,596.76,-41.7025,1023.89,453.105,-37.1326,1034.63,424.84,-81.3294,949.937
8,0,537.313,93.4274,1031.26,555.674,282.802,975.429,490.756,382.183,916.528,554.346,372.548,957.027,535,342.099,1055.12,499.12,319.966,1174.58,455.001,280.606,1151.71,497.368,255.463,1228.92,545.709,-194.353,1030.6,537.548,-357.668,993.547,461.091,-480.584,937.547,527.135,-476.094,972.16,501.904,-437.135,1075.13,427.748,-427.536,1192.06,445.573,-369.936,1163.99,456.539,-338.785,1238.11,596.769,-41.7445,1023.95,453.1,-37.1139,1034.61,424.863,-81.3451,949.929
9,0,537.29,93.4236,1031.26,555.669,282.827,975.735,490.755,382.187,916.523,554.337,372.535,957.056,534.957,342.08,1055.1,499.062,319.977,1174.57,454.959,280.608,1151.67,497.306,255.464,1228.92,545.689,-194.336,1030.6,537.514,-357.658,993.562,461.089,-480.582,937.569,527.119,-476.09,972.186,501.9,-437.095,1075.14,427.759,-427.51,1192.1,445.595,-369.915,1164.01,456.537,-338.744,1238.13,596.73,-41.6947,1023.91,453.096,-37.1205,1034.6,424.83,-81.3694,949.915
