Trajectories
100
,,ValidationHealthy002:Rdeltoid,,,ValidationHealthy002:RMidArm,,,ValidationHealthy002:RElbRadial,,,ValidationHealthy002:RElbUlna,,,ValidationHealthy002:RMidForeArm,,,ValidationHealthy002:RWrist1,,,ValidationHealthy002:RWrist2,,,ValidationHealthy002:RFingerJoint,,,ValidationHealthy002:LDeltoid,,,ValidationHealthy002:LMidArm,,,ValidationHealthy002:LElbRadial,,,ValidationHealthy002:LElbUlna,,,ValidationHealthy002:LMidForearm,,,ValidationHealthy002:Lwrist1,,,ValidationHealthy002:LWrist2,,,ValidationHealthy002:LFingerJoint,,,ValidationHealthy002:C7,,,ValidationHealthy002:Neck,,,ValidationHealthy002:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,567.034,96.4163,975.876,548.431,266.751,925.419,526.73,361.555,925.256,453.101,356.528,898.988,499.624,364.134,1046.92,431.045,380.506,1149.29,437.097,311.89,1144.66,464.658,310.114,1211.32,592.638,-213.9,972.878,558.22,-353.485,929.391,524.665,-465.673,947.581,457.784,-464.365,913.596,475.999,-445.612,1065.46,391.924,-473.881,1159.26,408.38,-411.5,1154.64,425.35,-403.306,1219.62,621.089,-48.0985,986.341,501.549,-54.838,967.375,437.898,-42.725,872.381
2,0,567.052,96.4135,975.857,548.368,266.757,925.379,526.686,361.518,925.26,453.047,356.492,898.984,499.601,364.103,1046.92,431.045,380.484,1149.3,437.092,311.869,1144.68,464.651,310.096,1211.33,592.656,-213.905,972.857,558.252,-353.492,929.363,524.68,-465.656,947.557,457.836,-464.394,913.586,476.039,-445.633,1065.44,391.954,-473.915,1159.24,408.423,-411.522,1154.64,425.387,-403.313,1219.61,621.093,-48.1018,986.343,501.549,-54.8869,967.398,437.906,-42.7473,872.386
3,0,567.049,96.3836,975.848,548.34,266.77,925.37,526.637,361.504,925.257,452.991,356.459,898.99,499.56,364.091,1046.93,431,380.468,1149.31,437.076,311.85,1144.68,464.671,310.103,1211.34,592.677,-213.924,972.84,558.284,-353.506,929.329,524.725,-465.68,947.531,457.875,-464.425,913.551,476.08,-445.667,1065.42,392.002,-473.961,1159.23,408.449,-411.538,1154.6,425.42,-403.334,1219.57,621.104,-48.0964,986.335,501.56,-54.8686,967.403,437.909,-42.7716,872.367
4,0,567.02,96.4001,975.84,548.327,266.732,925.338,526.572,361.475,925.248,452.921,356.434,899.002,499.526,364.074,1046.91,430.955,380.494,1149.31,437.075,311.822,1144.69,464.65,310.077,1211.35,592.721,-213.939,972.818,558.326,-353.521,929.294,524.789,-465.707,947.494,457.931,-464.447,913.517,476.121,-445.699,1065.38,392.034,-473.994,1159.18,408.479,-411.573,1154.55,425.451,-403.365,1219.52,621.113,-48.1094,986.327,501.578,-54.882,967.403,437.931,-42.7955,872.356
5,0,566.982,96.3877,975.82,548.301,266.693,925.337,526.512,361.453,925.234,452.852,356.379,899.01,499.468,364.064,1046.92,430.952,380.446,1149.31,437.042,311.78,1144.7,465.116,317.44,1212.95,592.721,-213.948,972.795,558.371,-353.538,929.26,524.775,-465.649,947.397,457.982,-464.471,913.466,476.155,-445.707,1065.32,392.063,-474.048,1159.12,408.503,-411.616,1154.5,425.476,-403.409,1219.48,621.103,-48.0993,986.309,501.593,-54.9086,967.409,437.928,-42.8097,872.343
6,0,566.982,96.3832,975.817,548.229,266.717,925.307,526.444,361.435,925.218,452.785,356.322,898.997,499.43,364.036,1046.91,430.935,380.371,1149.3,437.021,311.74,1144.71,464.654,309.981,1211.33,592.728,-213.959,972.773,558.387,-353.536,929.201,524.833,-465.689,947.344,458.042,-464.498,913.414,476.195,-445.724,1065.27,392.125,-474.13,1159.09,409.277,-412.018,1154.43,425.659,-403.391,1219.62,621.095,-48.1089,986.294,501.6,-54.8922,967.417,437.943,-42.8373,872.332
7,0,566.972,96.3548,975.809,548.194,266.684,925.306,526.389,361.412,925.197,452.743,356.269,899.003,499.383,364.036,1046.9,430.928,380.309,1149.31,437.007,311.688,1144.71,465.125,317.307,1212.88,592.74,-213.976,972.759,558.418,-353.553,929.155,524.906,-465.725,947.295,458.101,-464.526,913.349,476.238,-445.747,1065.21,392.186,-474.182,1159.02,409.246,-412.071,1154.38,425.491,-403.496,1219.36,621.092,-48.122,986.291,501.62,-54.9175,967.412,437.953,-42.8728,872.314
8,0,566.942,96.3293,975.817,548.19,266.629,925.318,526.327,361.37,925.172,452.681,356.21,899.001,499.444,364.224,1047.06,430.895,380.256,1149.3,436.975,311.663,1144.71,465.105,317.199,1212.86,592.763,-214.004,972.725,558.457,-353.569,929.086,524.919,-465.693,947.195,458.16,-464.54,913.278,476.273,-445.782,1065.13,392.29,-474.213,1158.94,409.17,-412.099,1154.32,425.655,-403.521,1219.49,621.072,-48.13,986.273,501.61,-54.9399,967.419,437.956,-42.9021,872.298
9,0,566.909,96.3233,975.799,548.151,266.625,925.322,526.257,361.338,925.153,452.639,356.173,898.993,499.282,363.979,1046.89,430.863,380.167,1149.3,436.952,311.61,1144.71,465.081,317.129,1212.82,592.764,-214.019,972.684,558.496,-353.581,929.017,524.983,-465.735,947.122,458.214,-464.575,913.206,476.315,-445.84,1065.04,392.341,-474.35,1158.87,409.144,-412.171,1154.25,425.675,-403.627,1219.43,621.064,-48.1492,986.264,501.633,-55.0115,967.398,437.963,-42.9413,872.269
