Trajectories
100
,,ValidationHealthy006:Rdeltoid,,,ValidationHealthy006:RMidArm,,,ValidationHealthy006:RElbRadial,,,ValidationHealthy006:RElbUlna,,,ValidationHealthy006:RMidForeArm,,,ValidationHealthy006:RWrist1,,,ValidationHealthy006:RWrist2,,,ValidationHealthy006:RFingerJoint,,,ValidationHealthy006:LDeltoid,,,ValidationHealthy006:LMidArm,,,ValidationHealthy006:LElbRadial,,,ValidationHealthy006:LElbUlna,,,ValidationHealthy006:LMidForearm,,,ValidationHealthy006:Lwrist1,,,ValidationHealthy006:LWrist2,,,ValidationHealthy006:LFingerJoint,,,ValidationHealthy006:C7,,,ValidationHealthy006:Neck,,,ValidationHealthy006:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,706.87,72.007,935.007,,,,563.646,314.294,919.37,644.44,326.561,934.549,642.873,325.931,1062.44,606.855,345.45,1184.18,589.91,272.614,1176.6,641.362,272.563,1250.47,707.613,-241.894,949.534,693.535,-410.6,921.575,591.968,-540.522,925.133,663.529,-533.317,927.556,661.001,-499.48,1059.54,635.339,-541.978,1187.64,603.681,-478.824,1183.23,651.42,-476.366,1254.73,729.527,-107.442,970.642,600.153,-102.531,962.031,550.884,-111.036,879.874
2,0,706.875,72.0007,935.019,,,,563.634,314.298,919.323,644.427,326.551,934.537,642.809,325.909,1062.41,606.722,345.414,1184.14,589.816,272.567,1176.55,641.242,272.498,1250.45,707.6,-241.804,949.418,693.535,-410.616,921.604,591.969,-540.503,925.147,663.516,-533.317,927.569,660.964,-499.451,1059.57,635.289,-541.951,1187.66,603.641,-478.815,1183.24,651.356,-476.336,1254.76,729.524,-107.447,970.644,600.168,-102.529,962.043,550.88,-111.024,879.882
3,0,706.88,72.0061,935.023,,,,563.632,314.306,919.277,644.421,326.552,934.515,642.759,325.874,1062.4,606.625,345.372,1184.11,589.713,272.518,1176.48,641.117,272.45,1250.4,707.605,-241.817,949.429,693.524,-410.611,921.611,591.939,-540.49,925.142,663.509,-533.315,927.59,660.956,-499.487,1059.54,635.242,-541.939,1187.68,603.56,-478.783,1183.23,651.264,-476.304,1254.76,729.542,-107.47,970.648,600.165,-102.543,962.035,550.867,-111.028,879.906
4,0,706.892,72.0019,935.026,,,,563.646,314.251,919.202,644.432,326.544,934.498,642.707,325.836,1062.37,606.505,345.337,1184.07,589.673,272.044,1176.82,640.991,272.371,1250.39,707.628,-241.958,949.596,693.516,-410.613,921.628,591.936,-540.499,925.169,663.505,-533.315,927.606,660.926,-499.461,1059.59,635.203,-541.923,1187.69,603.526,-478.781,1183.23,651.27,-476.292,1254.77,729.538,-107.453,970.638,600.179,-102.554,962.037,550.865,-111.035,879.908
5,0,706.91,71.9964,935.031,,,,563.651,314.311,919.17,644.44,326.554,934.478,642.653,325.809,1062.36,606.432,345.253,1184.05,589.565,272.021,1176.75,640.846,272.333,1250.36,707.609,-241.936,949.593,693.507,-410.604,921.629,591.907,-540.503,925.189,663.481,-533.31,927.617,660.913,-499.487,1059.57,635.15,-541.893,1187.71,603.482,-478.804,1183.24,651.148,-476.23,1254.76,729.515,-107.428,970.639,600.191,-102.566,962.021,550.856,-111.042,879.927
6,0,706.91,71.9974,935.031,,,,563.676,314.322,919.13,644.432,326.568,934.45,642.591,325.796,1062.34,606.295,345.211,1184.01,589.452,271.976,1176.69,640.679,272.279,1250.33,707.603,-241.924,949.602,693.491,-410.605,921.656,591.868,-540.499,925.189,663.471,-533.332,927.668,660.902,-499.502,1059.59,635.117,-541.866,1187.74,603.448,-478.83,1183.24,651.039,-476.175,1254.79,729.528,-107.44,970.653,600.194,-102.587,962.013,550.855,-111.065,879.953
7,0,706.916,71.993,935.042,,,,563.684,314.32,919.083,644.451,326.564,934.44,642.523,325.789,1062.34,606.164,345.196,1183.97,589.331,271.955,1176.62,640.514,272.216,1250.3,707.59,-241.917,949.64,693.481,-410.621,921.669,591.846,-540.504,925.217,663.449,-533.338,927.686,660.906,-499.537,1059.59,635.073,-541.846,1187.77,603.42,-478.866,1183.25,650.968,-476.143,1254.81,729.514,-107.415,970.656,600.206,-102.576,962.012,550.836,-111.046,879.975
8,0,706.91,72.0037,935.043,,,,563.717,314.359,919.037,644.476,326.555,934.413,642.474,325.769,1062.33,606.035,345.128,1183.93,589.15,272.257,1176.23,640.342,272.167,1250.28,707.547,-241.804,949.527,693.469,-410.626,921.696,591.819,-540.51,925.234,663.425,-533.344,927.683,660.918,-499.601,1059.54,635.034,-541.823,1187.78,603.337,-478.856,1183.25,650.902,-476.108,1254.82,729.51,-107.409,970.656,600.201,-102.567,962.015,550.842,-111.044,879.994
9,0,706.91,72.0012,935.03,,,,563.732,314.366,918.984,644.495,326.569,934.381,642.421,325.774,1062.31,605.909,345.092,1183.89,589.011,272.226,1176.16,640.165,272.115,1250.24,707.558,-241.904,949.679,693.46,-410.63,921.711,591.792,-540.493,925.227,663.394,-533.334,927.686,660.906,-499.594,1059.54,634.993,-541.81,1187.79,603.337,-478.89,1183.24,650.814,-476.084,1254.81,729.49,-107.372,970.647,600.201,-102.549,962.017,550.818,-111.05,880.004
10,0,706.93,72.0064,935.031,,,,563.758,314.44,918.886,644.524,326.582,934.356,642.371,325.747,1062.29,605.782,345.047,1183.85,588.886,272.182,1176.08,639.984,272.045,1250.22,707.548,-241.906,949.725,693.441,-410.621,921.718,591.769,-540.496,925.225,663.385,-533.332,927.713,660.902,-499.603,1059.54,634.95,-541.786,1187.8,603.327,-478.973,1183.23,650.736,-476.055,1254.83,729.505,-107.395,970.658,600.193,-102.523,962,550.81,-111.031,880.02
11,0,706.928,72.0133,935.014,,,,563.774,314.419,918.831,644.533,326.59,934.322,642.317,325.742,1062.27,605.661,344.992,1183.8,588.83,271.815,1176.32,639.81,272.013,1250.2,707.539,-241.886,949.721,693.422,-410.615,921.719,591.747,-540.5,925.244,663.364,-533.334,927.734,660.89,-499.564,1059.58,634.916,-541.78,1187.82,603.307,-479.011,1183.23,650.668,-476.03,1254.84,729.492,-107.377,970.653,600.176,-102.52,961.999,550.797,-111.035,880.036
