Trajectories
100
,,ValidationHealthy017:Rdeltoid,,,ValidationHealthy017:RMidArm,,,ValidationHealthy017:RElbRadial,,,ValidationHealthy017:RElbUlna,,,ValidationHealthy017:RMidForeArm,,,ValidationHealthy017:RWrist1,,,ValidationHealthy017:RWrist2,,,ValidationHealthy017:RFingerJoint,,,ValidationHealthy017:LDeltoid,,,ValidationHealthy017:LMidArm,,,ValidationHealthy017:LElbRadial,,,ValidationHealthy017:LElbUlna,,,ValidationHealthy017:LMidForearm,,,ValidationHealthy017:Lwrist1,,,ValidationHealthy017:LWrist2,,,ValidationHealthy017:LFingerJoint,,,ValidationHealthy017:C7,,,ValidationHealthy017:Neck,,,ValidationHealthy017:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,444.38,83.7009,1039.98,439.367,247.031,1012.09,353.48,331.764,973.831,418.145,351.126,999.13,404.096,350.132,1085.4,346.992,371.298,1195.4,335.654,313.443,1202.7,350.944,328.769,1277.42,437.166,-138.561,1037.95,447.796,-286.513,990.632,371.93,-391.914,939.73,433.008,-387.332,976.425,400.048,-395.341,1063.46,344.749,-412.223,1161.69,317.496,-363.409,1149.52,344.767,-364.199,1226.83,472.985,-26.8516,1042.31,354.507,-16.0302,1024.95,340.136,-24.8712,894.286
2,0,444.415,83.6751,1039.98,439.449,247.005,1012.08,353.572,331.738,973.782,418.233,351.101,999.116,404.192,350.136,1085.37,347.068,371.32,1195.36,335.727,313.471,1202.67,351.009,328.784,1277.39,437.192,-138.607,1037.95,447.793,-286.563,990.626,371.926,-391.945,939.726,433.017,-387.384,976.428,400.034,-395.354,1063.45,344.728,-412.235,1161.68,317.484,-363.417,1149.5,344.774,-364.229,1226.83,473.005,-26.8761,1042.31,354.539,-16.0861,1024.93,340.206,-24.8776,894.248
3,0,444.446,83.6446,1039.99,439.535,246.968,1012.07,353.689,331.751,973.751,418.337,351.063,999.089,404.285,350.136,1085.36,347.15,371.332,1195.32,335.789,313.486,1202.63,351.078,328.824,1277.35,437.212,-138.631,1037.94,447.805,-286.603,990.629,371.934,-391.987,939.684,433.001,-387.402,976.404,400.061,-395.391,1063.48,344.706,-412.246,1161.67,317.474,-363.419,1149.48,344.755,-364.217,1226.8,473.069,-26.9447,1042.36,354.577,-16.1025,1024.89,340.291,-24.8992,894.217
4,0,444.505,83.6068,1039.99,439.617,246.95,1012.06,353.798,331.733,973.714,418.456,351.051,999.082,404.386,350.15,1085.33,347.236,371.366,1195.29,335.855,313.534,1202.6,351.147,328.87,1277.32,437.236,-138.661,1037.91,447.805,-286.629,990.626,371.961,-392.023,939.7,433.029,-387.435,976.427,400.029,-395.383,1063.43,344.699,-412.262,1161.67,317.495,-363.429,1149.47,344.752,-364.234,1226.81,473.059,-26.9502,1042.32,354.613,-16.1302,1024.88,340.345,-24.9329,894.2
5,0,444.553,83.5721,1039.99,439.702,246.941,1012.04,353.938,331.698,973.672,418.581,351.008,999.055,404.494,350.135,1085.31,347.316,371.392,1195.26,335.918,313.545,1202.58,351.202,328.912,1277.28,437.236,-138.696,1037.94,448.571,-287.237,990.987,372.003,-392.066,939.695,433.021,-387.584,976.589,400.038,-395.423,1063.45,344.683,-412.269,1161.67,317.499,-363.44,1149.47,344.73,-364.217,1226.79,473.083,-26.9705,1042.33,354.645,-16.1278,1024.85,340.396,-24.961,894.181
6,0,444.601,83.5345,1039.97,439.808,246.926,1012.03,354.089,331.699,973.643,418.691,350.989,999.041,404.629,350.118,1085.29,347.412,371.422,1195.21,335.975,313.582,1202.57,351.279,328.957,1277.26,437.249,-138.713,1037.98,447.848,-286.688,990.638,372.051,-392.096,939.713,433.073,-387.505,976.469,400.003,-395.398,1063.4,344.692,-412.285,1161.68,317.498,-363.454,1149.45,344.7,-364.208,1226.78,473.113,-27.0109,1042.36,354.666,-16.1595,1024.81,340.435,-24.9986,894.151
7,0,444.639,83.5082,1039.96,439.93,246.885,1012.03,354.251,331.703,973.616,418.834,350.95,999.015,404.755,350.133,1085.27,347.517,371.453,1195.16,336.05,313.628,1202.55,351.344,329.014,1277.23,437.271,-138.728,1038.02,447.89,-286.709,990.647,372.118,-392.114,939.713,433.114,-387.534,976.498,400.058,-395.45,1063.46,344.699,-412.301,1161.69,317.516,-363.471,1149.44,344.708,-364.222,1226.79,473.14,-27.058,1042.39,354.687,-16.1696,1024.78,340.482,-25.0079,894.114
8,0,444.712,83.4849,1039.92,440.053,246.828,1012.02,354.411,331.708,973.571,418.979,350.916,998.982,404.882,350.108,1085.24,347.617,371.472,1195.12,336.137,313.652,1202.53,351.409,329.064,1277.2,437.302,-138.735,1038.06,447.943,-286.74,990.667,372.194,-392.143,939.705,433.173,-387.561,976.537,400.041,-395.431,1063.43,344.704,-412.316,1161.7,317.526,-363.509,1149.43,344.714,-364.246,1226.81,473.144,-27.06,1042.37,354.703,-16.1785,1024.74,340.54,-25.0246,894.085
9,0,444.783,83.4581,1039.9,440.18,246.817,1011.97,354.565,331.712,973.541,419.144,350.899,998.97,405.019,350.102,1085.22,347.737,371.504,1195.06,336.224,313.695,1202.51,351.487,329.112,1277.18,437.343,-138.738,1038.09,448.005,-286.741,990.688,372.283,-392.162,939.72,433.248,-387.592,976.594,400.039,-395.397,1063.41,344.726,-412.333,1161.71,317.551,-363.533,1149.43,344.698,-364.247,1226.82,473.158,-27.0488,1042.34,354.748,-16.1827,1024.7,340.593,-25.0098,894.072
10,0,444.841,83.4221,1039.88,440.323,246.771,1011.94,354.758,331.685,973.504,419.324,350.878,998.943,405.169,350.096,1085.19,347.849,371.533,1195.01,336.294,313.746,1202.46,351.82,328.582,1277.34,437.375,-138.748,1038.1,448.184,-286.842,990.8,372.397,-392.22,939.736,433.305,-387.701,976.747,400.129,-395.447,1063.49,344.767,-412.349,1161.73,317.595,-363.565,1149.42,344.695,-364.22,1226.82,473.261,-27.1075,1042.41,354.791,-16.1877,1024.67,340.653,-25.0584,894.04
11,0,444.922,83.3897,1039.87,440.474,246.717,1011.93,354.94,331.672,973.453,419.498,350.878,998.905,405.304,350.105,1085.14,347.988,371.555,1194.95,336.408,313.785,1202.42,351.661,329.217,1277.09,437.417,-138.755,1038.11,448.32,-286.902,990.863,372.519,-392.288,939.784,433.402,-387.722,976.795,400.203,-395.465,1063.54,344.815,-412.375,1161.76,317.654,-363.592,1149.43,344.726,-364.23,1226.86,473.284,-27.1195,1042.39,354.857,-16.1965,1024.64,340.737,-25.0709,894.027
